species,vcm_count,non_vcm_count,obs_count,fisher_p,chi2_p
Abagrotis duanca,0,1,1,1.0,1.0
Abagrotis mirabilis,1,0,1,0.14476460320460613,0.3126936942061339
Abagrotis variata,0,1,1,1.0,1.0
Abies concolor,72,806,878,1.6201478349139666e-08,1.5304760739415647e-07
Abies magnifica,3,390,393,1.4936688440697926e-22,1.830614745825674e-14
Abronia alpina,0,6,6,0.6025804396089913,0.6688993551184468
Abronia nana,1,2,3,0.3744588472376553,0.9141432822130974
Abronia turbinata,0,10,10,0.3757244358299004,0.39438447212016514
Abutilon theophrasti,3,0,3,0.0030335293929702875,0.000700171082788584
Acalymma trivittatum,0,1,1,1.0,1.0
Acanthocinus princeps,1,2,3,0.3744588472376553,0.9141432822130974
Acanthus mollis,1,0,1,0.14476460320460613,0.3126936942061339
Acarospora fuscata,0,1,1,1.0,1.0
Accipiter cooperii,4,50,54,0.17509244908717747,0.19944547479472113
Accipiter gentilis,2,49,51,0.0275275077506787,0.05195651041345731
Accipiter striatus,1,20,21,0.3485544901265487,0.3394968187912247
Acer campestre,0,1,1,1.0,1.0
Acer circinatum,3,8,11,0.2054644031680506,0.4367258119699784
Acer glabrum,1,96,97,7.971830222432095e-06,0.00029450152092648486
Acer macrophyllum,162,321,483,5.62748758270939e-26,1.9772441402377132e-32
Acer negundo,4,0,4,0.00043910829886184923,3.314336839661014e-05
Acer platanoides,3,0,3,0.0030335293929702875,0.000700171082788584
Acer saccharinum,1,2,3,0.3744588472376553,0.9141432822130974
Aceria dispar,0,2,2,1.0,1.0
Aceria erinea,0,1,1,1.0,1.0
Aceria genistae,9,1,10,2.4259786172080083e-07,2.3235216610518305e-10
Acerra normalis,0,12,12,0.2360424886052977,0.31009055076592434
Achillea filipendulina,1,0,1,0.14476460320460613,0.3126936942061339
Achillea millefolium,83,695,778,0.0021493241984642695,0.002943037294301841
Achyrachaena mollis,1,0,1,0.14476460320460613,0.3126936942061339
Acilius abbreviatus,0,7,7,0.6034645370398923,0.5813304975648097
Aciurina bigeloviae,2,1,3,0.056801432979852025,0.0803492820202322
Acleris maximana,0,1,1,1.0,1.0
Acmaeodera connexa,3,14,17,0.7270000471496869,0.9785517440514542
Acmaeodera hepburnii,2,0,2,0.0209561639230412,0.01499159650771353
Acmaeodera labyrinthica,1,1,2,0.2685730424867646,0.6723203844978234
Acmaeodera mariposa,0,2,2,1.0,1.0
Acmispon americanus,9,54,63,1.0,1.0
Acmispon argophyllus,1,1,2,0.2685730424867646,0.6723203844978234
Acmispon brachycarpus,2,3,5,0.15522343689242213,0.32387652224382535
Acmispon decumbens,5,35,40,1.0,0.8960992025112787
Acmispon glaber,1,0,1,0.14476460320460613,0.3126936942061339
Acmispon grandiflorus,3,8,11,0.2054644031680506,0.4367258119699784
Acmispon parviflorus,3,5,8,0.09660076546782431,0.17754400284199642
Acmispon procumbens,1,0,1,0.14476460320460613,0.3126936942061339
Acmispon strigosus,0,2,2,1.0,1.0
Acolium inquinans,0,2,2,1.0,1.0
Aconitum columbianum,10,464,474,3.4459814064081677e-20,3.059589787286659e-14
Acossus populi,0,10,10,0.3757244358299004,0.39438447212016514
Acrolophus laticapitana,0,2,2,1.0,1.0
Acroncosa albiflavella,0,2,2,1.0,1.0
Acronicta cyanescens,0,1,1,1.0,1.0
Acronicta funeralis,1,0,1,0.14476460320460613,0.3126936942061339
Acronicta grisea,0,1,1,1.0,1.0
Acronicta impressa,0,4,4,1.0,0.9105509465652237
Acronicta insita,0,6,6,0.6025804396089913,0.6688993551184468
Acronicta lupini,0,3,3,1.0,1.0
Acronicta mansueta,0,1,1,1.0,1.0
Acronicta marmorata,1,2,3,0.3744588472376553,0.9141432822130974
Acronicta perdita,1,6,7,1.0,1.0
Acronicta spinea,0,3,3,1.0,1.0
Acronicta vulpina,0,1,1,1.0,1.0
Actaea rubra,5,205,210,5.410858261474294e-09,1.0288792758632603e-06
Acteniceromorphus volitans,0,1,1,1.0,1.0
Actinemys marmorata,11,16,27,0.0007982742016077558,0.0003117217807645189
Actitis macularius,0,60,60,0.00014378007469898363,0.002665672747563187
Aculus tetanothrix,1,3,4,0.4650164385481151,1.0
Adaleres ovipennis,2,0,2,0.0209561639230412,0.01499159650771353
Adalia bipunctata,1,6,7,1.0,1.0
Adeia whitneyi,0,7,7,0.6034645370398923,0.5813304975648097
Adejeania vexatrix,0,3,3,1.0,1.0
Adela eldorada,1,4,5,0.5424646889787644,1.0
Adela flammeusella,3,0,3,0.0030335293929702875,0.000700171082788584
Adela septentrionella,0,1,1,1.0,1.0
Adela trigrapha,2,1,3,0.056801432979852025,0.0803492820202322
Adelinia grande,153,62,215,1.3681260548431312e-78,1.6555304753375774e-122
Adenocaulon bicolor,35,313,348,0.017889734779506325,0.023290103770473157
Adenostoma fasciculatum,8,1,9,1.5113716238966603e-06,4.3344519411722725e-09
Adiantum aleuticum,5,52,57,0.26220095609850014,0.30023113948569585
Adiantum capillus-veneris,1,2,3,0.3744588472376553,0.9141432822130974
Adiantum jordanii,73,0,73,4.9454508129927385e-62,2.503150945142367e-94
Aechmophorus clarkii,0,1,1,1.0,1.0
Aechmophorus occidentalis,0,7,7,0.6034645370398923,0.5813304975648097
Aedes fitchii,0,1,1,1.0,1.0
Aedes melanimon,0,1,1,1.0,1.0
Aedes sierrensis,0,2,2,1.0,1.0
Aedes ventrovittis,0,1,1,1.0,1.0
Aegilops triuncialis,6,2,8,0.00019772693610894856,1.2839299064071593e-05
Aegolius acadicus,3,10,13,0.41916983303031286,0.626122924488651
