species,co_occurrence_ratio,p_value,significant
species_Arbutus menziesii,0.39094650205761317,5.140413987934494e-56,True
species_Lysimachia latifolia,0.3352272727272727,2.837318991468002e-27,True
species_Woodwardia fimbriata,0.3162393162393162,8.506640058270055e-16,True
species_Asarum hartwegii,0.29878048780487804,1.0675853771264495e-18,True
species_Lathyrus sulphureus,0.28804347826086957,7.18535622151875e-19,True
species_Silene laciniata,0.2830188679245283,1.7543858914376464e-30,True
species_Pseudotsuga menziesii,0.27941176470588236,3.9899305670899658e-19,True
species_Acer macrophyllum,0.27125506072874495,4.1077037903847444e-21,True
species_Ensatina eschscholtzii,0.26380368098159507,3.659506978518262e-13,True
species_Pinus ponderosa,0.26244343891402716,2.918037126579371e-17,True
species_Quercus chrysolepis,0.2614213197969543,7.969875726465882e-30,True
species_Adelinia grande,0.2581967213114754,4.380076837239729e-18,True
species_Dicentra formosa,0.2561576354679803,7.47358085468569e-15,True
species_Rubus armeniacus,0.2550335570469799,5.1629500636975254e-11,True
species_Diplacus grandiflorus,0.24468085106382978,1.6075978375625124e-06,True
species_Quercus kelloggii,0.23481781376518218,3.955833047919235e-40,True
species_Chamaebatia foliolosa,0.23313782991202345,4.6432905936154085e-36,True
species_Lathyrus latifolius,0.23222748815165878,1.582168823941796e-11,True
species_Calycanthus occidentalis,0.22413793103448276,3.983151331206164e-06,True
species_Pinus monophylla,0.21951219512195122,9.05521687995394e-08,True
species_Sedum spathulifolium,0.21875,3.262372703709784e-06,True
species_Fritillaria micrantha,0.21774193548387097,5.721728676667254e-06,True
species_Taricha sierrae,0.21641791044776118,1.503539093271809e-11,True
species_Prunella vulgaris,0.21428571428571427,4.756623704293315e-10,True
species_Umbellularia californica,0.20869565217391303,5.72868145538173e-09,True
species_Vinca major,0.20610687022900764,2.4893745981231086e-05,True
species_Limenitis bredowii,0.2013274336283186,8.477109452712636e-15,True
species_Iris hartwegii,0.1956521739130435,4.391343215944356e-11,True
species_Arctostaphylos viscida,0.19238476953907815,7.351169551077897e-14,True
species_Artemisia douglasiana,0.18867924528301888,4.696010244347323e-06,True
species_Calochortus venustus,0.18834080717488788,2.7933822320183575e-06,True
species_Asclepias speciosa,0.18518518518518517,0.0005576990298296509,True
species_Pheucticus melanocephalus,0.18324607329842932,4.657524119966241e-05,True
species_Ceanothus integerrimus,0.1827956989247312,7.150500069229524e-07,True
species_Collinsia tinctoria,0.1827956989247312,6.51065370673958e-05,True
species_Meleagris gallopavo,0.17894736842105263,1.6708629580906226e-06,True
species_Calocedrus decurrens,0.17614424410540916,3.898652771510846e-14,True
species_Elgaria multicarinata,0.17272727272727273,1.6960138986994878e-06,True
species_Toxicodendron diversilobum,0.17136659436008678,1.9944414310500884e-08,True
species_Nemophila heterophylla,0.16766467065868262,0.001953681382919848,True
species_Sciurus griseus,0.16363636363636364,0.0006930975604115745,True
species_Darmera peltata,0.16243654822335024,0.0017064644165322247,True
species_Cornus nuttallii,0.16216216216216217,1.165412430359781e-05,True
species_Branta canadensis,0.16071428571428573,0.005138938915009755,True
species_Lupinus stiversii,0.1598173515981735,0.0014242997602209114,True
species_Erythranthe bicolor,0.15436241610738255,0.018681873097748155,True
species_Dodecatheon hendersonii,0.152317880794702,0.02240635603222516,True
species_Asclepias cordifolia,0.15145228215767634,2.328976811937347e-05,True
species_Callipepla californica,0.1506849315068493,0.029813040750150472,True
species_Calochortus albus,0.14666666666666667,0.0007280746657018918,True
species_Frangula californica,0.14619883040935672,0.029686131361378442,True
species_Lilium pardalinum,0.1456953642384106,0.04503785450133498,True
species_Erythranthe cardinalis,0.14482758620689656,0.004621723162528022,True
species_Claytonia parviflora,0.14375,0.04687531020641405,True
species_Heteromeles arbutifolia,0.14173228346456693,0.0021050980178086987,True
species_Crotalus oreganus,0.14133333333333334,0.002511169727841712,True
species_Madia elegans,0.13986013986013987,0.011684380747546332,True
species_Chlorogalum pomeridianum,0.13823529411764707,0.0076215762428596045,True
species_Hippodamia convergens,0.13246753246753246,0.01373169849043861,True
species_Pteridium aquilinum,0.12849162011173185,0.008429189803316408,True
species_Cyanocitta stelleri,0.12582781456953643,0.0275355249396056,True
species_Pseudacris regilla,0.125,0.002377344111590134,True
species_Sceloporus occidentalis,0.12087912087912088,0.01069881551490061,True
species_Triteleia ixioides,0.06738131699846861,0.017460891374277036,True
species_Triteleia laxa,0.058394160583941604,0.0485456398679426,True
species_Aquilegia formosa,0.05707762557077625,0.00011114400659723013,True
species_Ceanothus prostratus,0.055970149253731345,0.0370895053782101,True
species_Apocynum androsaemifolium,0.05570291777188329,0.011228378081099643,True
species_Tamiasciurus douglasii,0.055408970976253295,0.010388143333202152,True
species_Ribes nevadense,0.05511811023622047,0.038474325644753324,True
species_Cryptoporus volvatus,0.05416666666666667,0.0026219623210142653,True
species_Setophaga coronata,0.05416666666666667,0.039822304689914614,True
species_Poecile gambeli,0.050746268656716415,0.007159153262605986,True
