species,pearson_correlation,p_value,significant
species_Abies concolor,-0.009786136694444118,0.21934289493783815,False
species_Abies magnifica,-0.034200206815556786,1.7572899151314728e-05,True
species_Acer macrophyllum,0.03861610465001257,1.2441383342185396e-06,True
species_Achillea millefolium,-0.007495924894256365,0.346797631231175,False
species_Aconitum columbianum,-0.018412836400218433,0.02082336020512127,True
species_Actaea rubra,-0.0036432824617028065,0.6474797754303614,False
species_Adelinia grande,0.04196765837409044,1.3669243221931138e-07,True
species_Adenocaulon bicolor,0.006252768481750149,0.43257895352306536,False
species_Adiantum jordanii,0.014104002935064757,0.07668269984512606,False
species_Aesculus californica,-0.0037780456993687537,0.635371345084057,False
species_Agastache urticifolia,-0.01937788570653277,0.015002167965598005,True
species_Allium campanulatum,-0.027994859803237227,0.0004409235884128172,True
species_Allium validum,-0.021625146526583768,0.00663824872746087,True
species_Anas platyrhynchos,-0.002071243698803817,0.7948946829317834,False
species_Anaxyrus boreas,-0.004507770579377795,0.571551170107085,False
species_Angelica capitellata,-0.01516210444805778,0.057028880582187746,False
species_Aphelocoma californica,-0.003900478176069933,0.6244546042083565,False
species_Apis mellifera,-0.007597459571738961,0.3403048722391054,False
species_Apocynum androsaemifolium,-0.01891527369303455,0.017584697222002732,True
species_Aquarius remigis,-0.003159747814564806,0.6916789262024049,False
species_Aquilegia formosa,-0.021743009087056578,0.006347564198073334,True
species_Arbutus menziesii,0.09570682276347943,2.197303139061945e-33,True
species_Arctostaphylos nevadensis,-0.03469564573743851,1.3250559012180421e-05,True
species_Arctostaphylos patula,-0.0316473020640559,7.096852391521166e-05,True
species_Arctostaphylos viscida,0.04162733661806148,1.7240421309361675e-07,True
species_Argia vivida,-0.0044902631756916405,0.5730460464042232,False
species_Artemisia douglasiana,0.033892126603776905,2.0906021781699477e-05,True
species_Artemisia tridentata,-0.02011207915066,0.011586249922005645,True
species_Asarum hartwegii,0.03626907434055851,5.273758599258804e-06,True
species_Asclepias cordifolia,0.013448675948543522,0.0914101320745665,False
species_Asclepias fascicularis,0.005736542418379686,0.4715290478141935,False
species_Asclepias speciosa,0.0077679683952114175,0.3295779328220061,False
species_Baeolophus inornatus,-0.0043673956718459075,0.5835889662095775,False
species_Battus philenor,-0.008404954185191934,0.2914638710132246,False
species_Bistorta bistortoides,-0.01715404907466271,0.03130725814990195,True
species_Bombus vosnesenskii,-0.0003439056349921442,0.9655714070470219,False
species_Branta canadensis,0.022518864324718554,0.004703363491872036,True
species_Brodiaea elegans,0.003627369177299374,0.6489158373346909,False
species_Buteo jamaicensis,-0.017617358708661247,0.027014513285336404,True
species_Buteo lineatus,0.0032115002832570853,0.6868944399700033,False
species_Calandrinia menziesii,-0.016781180591773494,0.035175098906766095,True
species_Callipepla californica,0.004342442126363847,0.5857411507581318,False
species_Callospermophilus lateralis,-0.021599466792227368,0.006703148873065252,True
species_Calocedrus decurrens,0.05259610101084639,3.9523123721185414e-11,True
species_Calochortus albus,0.00284668738530816,0.7208780779533196,False
species_Calochortus leichtlinii,-0.04846087246727504,1.1587529003903222e-09,True
species_Calochortus minimus,-0.013469403384898255,0.09091178237962963,False
species_Calochortus superbus,-0.00198170029711877,0.8035762978711009,False
species_Calochortus venustus,0.03196240886167285,6.005516727376315e-05,True
species_Caloscypha fulgens,-0.02104378745976688,0.008254554866091439,True
species_Caltha leptosepala,-0.01118455381456754,0.16037672680776136,False
species_Calycanthus occidentalis,0.007732200715494143,0.3318097774734829,False
