species,pearson_correlation,p_value,significant
species_Abies magnifica,-0.034200206815556786,1.7572899151314728e-05,True
species_Acer macrophyllum,0.03861610465001257,1.2441383342185396e-06,True
species_Aconitum columbianum,-0.018412836400218433,0.02082336020512127,True
species_Adelinia grande,0.04196765837409044,1.3669243221931138e-07,True
species_Agastache urticifolia,-0.01937788570653277,0.015002167965598005,True
species_Allium campanulatum,-0.027994859803237227,0.0004409235884128172,True
species_Allium validum,-0.021625146526583768,0.00663824872746087,True
species_Apocynum androsaemifolium,-0.01891527369303455,0.017584697222002732,True
species_Aquilegia formosa,-0.021743009087056578,0.006347564198073334,True
species_Arbutus menziesii,0.09570682276347943,2.197303139061945e-33,True
species_Arctostaphylos nevadensis,-0.03469564573743851,1.3250559012180421e-05,True
species_Arctostaphylos patula,-0.0316473020640559,7.096852391521166e-05,True
species_Arctostaphylos viscida,0.04162733661806148,1.7240421309361675e-07,True
species_Artemisia douglasiana,0.033892126603776905,2.0906021781699477e-05,True
species_Artemisia tridentata,-0.02011207915066,0.011586249922005645,True
species_Asarum hartwegii,0.03626907434055851,5.273758599258804e-06,True
species_Bistorta bistortoides,-0.01715404907466271,0.03130725814990195,True
species_Branta canadensis,0.022518864324718554,0.004703363491872036,True
species_Buteo jamaicensis,-0.017617358708661247,0.027014513285336404,True
species_Calandrinia menziesii,-0.016781180591773494,0.035175098906766095,True
species_Callospermophilus lateralis,-0.021599466792227368,0.006703148873065252,True
species_Calocedrus decurrens,0.05259610101084639,3.9523123721185414e-11,True
species_Calochortus leichtlinii,-0.04846087246727504,1.1587529003903222e-09,True
species_Calochortus venustus,0.03196240886167285,6.005516727376315e-05,True
species_Caloscypha fulgens,-0.02104378745976688,0.008254554866091439,True
species_Calyptridium monospermum,-0.03460292429473533,1.3973443576585348e-05,True
species_Castilleja applegatei,-0.02329086053628287,0.0034599981056831,True
species_Castilleja miniata,-0.020754090140475055,0.009184613200466128,True
species_Ceanothus cordulatus,-0.03444200497554753,1.5318140595449147e-05,True
species_Ceanothus integerrimus,0.02580915924331834,0.0011960498204312447,True
species_Ceanothus velutinus,-0.027322627538078122,0.0006038595051207128,True
species_Chamaebatia foliolosa,0.067150279384702,3.242357444532712e-17,True
species_Chamaenerion angustifolium,-0.04207568864646856,1.2693584989769727e-07,True
species_Charina bottae,-0.01997038028197779,0.012186006118888041,True
species_Chlorogalum pomeridianum,0.018326985500410894,0.021425900306009906,True
species_Chrysolepis sempervirens,-0.027501841413236333,0.0005556633991397357,True
species_Cirsium andersonii,-0.032176885036541224,5.3557639539853966e-05,True
species_Claytonia parviflora,0.022529023718009716,0.004684663761819464,True
species_Collinsia heterophylla,-0.01592211533576244,0.0456630355846877,True
species_Collinsia tinctoria,0.03808397599853265,1.7389255436596021e-06,True
species_Corallorhiza maculata,-0.025818411027562025,0.0011911861066878462,True
species_Crotalus oreganus,0.024502134108723834,0.0021000961114869886,True
species_Dendragapus fuliginosus,-0.018219091330090184,0.022204634429025483,True
species_Dicentra formosa,0.05665937445274557,1.1032016834525212e-12,True
species_Diplacus grandiflorus,0.016334844139591163,0.04033456547672256,True
species_Diplacus torreyi,-0.016952029172776606,0.033354955372680864,True
species_Dodecatheon hendersonii,0.01665051814895007,0.036623715726320547,True
species_Dudleya cymosa,-0.016571672804663526,0.03752220345205048,True
species_Elgaria multicarinata,0.03318674455615356,3.0947268410157e-05,True
