species,spearman_correlation,p_value,significant
species_Abies magnifica,-0.038089502058955005,1.732928150753807e-06,True
species_Acer macrophyllum,0.07598824377745579,1.2842988196355934e-21,True
species_Aconitum columbianum,-0.03219741881163663,5.297178668947705e-05,True
species_Adelinia grande,0.06990122849039164,1.5779512973992228e-18,True
species_Agastache urticifolia,-0.02832429987114425,0.00037702158819785333,True
species_Allium campanulatum,-0.031893288667199926,6.230352241858532e-05,True
species_Allium validum,-0.027008505119818796,0.0006978360209031048,True
species_Angelica capitellata,-0.03446916547334035,1.5082839721130467e-05,True
species_Apocynum androsaemifolium,-0.02091437056791092,0.008659093853381738,True
species_Aquilegia formosa,-0.031082854165921686,9.535402235779362e-05,True
species_Arbutus menziesii,0.12663750609154983,2.489306124116537e-57,True
species_Arctostaphylos nevadensis,-0.03938451926375165,7.613265056465919e-07,True
species_Arctostaphylos patula,-0.041144490254082594,2.3891412014188594e-07,True
species_Arctostaphylos viscida,0.06023649199201103,3.8167399802198257e-14,True
species_Artemisia douglasiana,0.037431848009531234,2.605702677806783e-06,True
species_Artemisia tridentata,-0.023614750700496782,0.0030339581598477308,True
species_Asarum hartwegii,0.07138781384590846,2.931481956912618e-19,True
species_Asclepias cordifolia,0.03410115109392669,1.8585042015564245e-05,True
species_Asclepias speciosa,0.028634740929254273,0.0003248233383453018,True
species_Bistorta bistortoides,-0.0263795353939391,0.0009281569332887937,True
species_Branta canadensis,0.023348474003444395,0.003380443578869391,True
species_Buteo jamaicensis,-0.02085563404616717,0.008848472739102105,True
species_Buteo lineatus,0.016709028433323544,0.03596886312784332,True
species_Calandrinia menziesii,-0.019428119361590213,0.014742921236300874,True
species_Callipepla californica,0.018432594602086926,0.020686797317125756,True
species_Callospermophilus lateralis,-0.030867330536846493,0.0001066028244764333,True
species_Calocedrus decurrens,0.061022393743351326,1.7744077090673086e-14,True
species_Calochortus albus,0.027281480720650148,0.0006154610777111964,True
species_Calochortus leichtlinii,-0.06516266977522411,2.6737127680419117e-16,True
species_Calochortus minimus,-0.018493415716833682,0.020271308715351412,True
species_Calochortus venustus,0.038249402434847306,1.567750209511565e-06,True
species_Caloscypha fulgens,-0.0218602196747178,0.006069897989478173,True
species_Caltha leptosepala,-0.02425756767299357,0.0023268788861494174,True
species_Calycanthus occidentalis,0.03790202493081691,1.9479198366137613e-06,True
species_Calyptridium monospermum,-0.03948903603659677,7.116328467667949e-07,True
species_Castilleja applegatei,-0.02607015808742914,0.0010656516702559878,True
species_Castilleja miniata,-0.03342665764551968,2.7105017973501263e-05,True
species_Ceanothus cordulatus,-0.040930063074518006,2.758470794463733e-07,True
species_Ceanothus integerrimus,0.04019993566589129,4.4764639396604786e-07,True
species_Ceanothus prostratus,-0.017458706917186435,0.02842349402178221,True
species_Ceanothus velutinus,-0.03548080404546068,8.406486049793785e-06,True
species_Chamaebatia foliolosa,0.10032138144063914,1.5752218858764837e-36,True
species_Chamaenerion angustifolium,-0.05494131312444937,5.169610342483262e-12,True
species_Charina bottae,-0.022294572227511023,0.00513379525539155,True
species_Chlorogalum pomeridianum,0.0220724297294121,0.005594877061721007,True
species_Chrysolepis sempervirens,-0.0402040948389743,4.464238160882923e-07,True
species_Cirsium andersonii,-0.044533683281744736,2.242739976345372e-08,True
species_Claytonia parviflora,0.016996503585870747,0.032894579440585874,True
species_Collinsia heterophylla,-0.01788291269047288,0.024790910987106146,True
species_Collinsia tinctoria,0.03288397042190225,3.653765176259209e-05,True
species_Corallorhiza maculata,-0.030815100479537963,0.00010951145255012127,True
species_Cornus nuttallii,0.03555121810440518,8.066647270461105e-06,True
species_Crotalus oreganus,0.024832095585027344,0.0018262027497681725,True
species_Cryptoporus volvatus,-0.02459072589958138,0.0020230783926127043,True
species_Cyanocitta stelleri,0.01818108230296877,0.02248477061289724,True
species_Darmera peltata,0.025858813010243984,0.0011701599258139928,True
species_Dendragapus fuliginosus,-0.028757538107903862,0.00030610803983394363,True
species_Dicentra formosa,0.06295368693474371,2.5926170594880577e-15,True
species_Diplacus grandiflorus,0.039627096174508415,6.507608927597499e-07,True
species_Diplacus torreyi,-0.02713368385949363,0.0006588654397636628,True
species_Dodecatheon hendersonii,0.019324848892813735,0.015280230955622209,True
species_Draperia systyla,-0.01752779070498443,0.027802365673376826,True
species_Elgaria multicarinata,0.038942359299901176,1.0110797054323285e-06,True
species_Ensatina eschscholtzii,0.05895888232475492,1.2986093392407708e-13,True
species_Ericameria nauseosa,-0.01981987214245011,0.012853022428623705,True
species_Eriogonum nudum,-0.030904163262812055,0.00010459564832275107,True
species_Eriogonum umbellatum,-0.027565428070603654,0.0005394420281962231,True
species_Erodium cicutarium,0.016127586372385698,0.04294049730714442,True
species_Erythranthe bicolor,0.019827211162619818,0.012819763416154945,True
species_Erythranthe breweri,-0.026149681812501064,0.0010286152204815827,True
species_Erythranthe cardinalis,0.023294728903405337,0.0034546036453952933,True
species_Erythranthe erubescens,-0.0422523173310068,1.1241774506803651e-07,True
species_Erythranthe primuloides,-0.03236946526529712,4.8296167596071034e-05,True
species_Euphagus cyanocephalus,-0.015966671487853003,0.045060620424560244,True
