species,spearman_correlation,p_value,significant
species_Abies concolor,-0.010585490588108355,0.18397628309752376,False
species_Abies magnifica,-0.038089502058955005,1.732928150753807e-06,True
species_Acer macrophyllum,0.07598824377745579,1.2842988196355934e-21,True
species_Achillea millefolium,-0.010482415325134675,0.1882837431870792,False
species_Aconitum columbianum,-0.03219741881163663,5.297178668947705e-05,True
species_Actaea rubra,-0.006897042567535766,0.38668160001204555,False
species_Adelinia grande,0.06990122849039164,1.5779512973992228e-18,True
species_Adenocaulon bicolor,0.01484629135474631,0.062399636921061284,False
species_Adiantum jordanii,0.011035159439728392,0.1660360798969382,False
species_Aesculus californica,0.00062559268526649,0.9374164122732952,False
species_Agastache urticifolia,-0.02832429987114425,0.00037702158819785333,True
species_Allium campanulatum,-0.031893288667199926,6.230352241858532e-05,True
species_Allium validum,-0.027008505119818796,0.0006978360209031048,True
species_Anas platyrhynchos,-0.00024640203469921546,0.9753288223688833,False
species_Anaxyrus boreas,-0.0024482928579515483,0.758627852199263,False
species_Angelica capitellata,-0.03446916547334035,1.5082839721130467e-05,True
species_Aphelocoma californica,0.0010383297168141997,0.8963134772102221,False
species_Apis mellifera,-0.0030203959199740222,0.7046227940773405,False
species_Apocynum androsaemifolium,-0.02091437056791092,0.008659093853381738,True
species_Aquarius remigis,0.00301327260973436,0.7052867931886694,False
species_Aquilegia formosa,-0.031082854165921686,9.535402235779362e-05,True
species_Arbutus menziesii,0.12663750609154983,2.489306124116537e-57,True
species_Arctostaphylos nevadensis,-0.03938451926375165,7.613265056465919e-07,True
species_Arctostaphylos patula,-0.041144490254082594,2.3891412014188594e-07,True
species_Arctostaphylos viscida,0.06023649199201103,3.8167399802198257e-14,True
species_Argia vivida,0.0027718976137359836,0.7279162873882679,False
species_Artemisia douglasiana,0.037431848009531234,2.605702677806783e-06,True
species_Artemisia tridentata,-0.023614750700496782,0.0030339581598477308,True
species_Asarum hartwegii,0.07138781384590846,2.931481956912618e-19,True
species_Asclepias cordifolia,0.03410115109392669,1.8585042015564245e-05,True
species_Asclepias fascicularis,-0.007412429387170112,0.35219553345327903,False
species_Asclepias speciosa,0.028634740929254273,0.0003248233383453018,True
species_Baeolophus inornatus,-0.007058058615947213,0.3756926192472979,False
species_Battus philenor,0.00048610645327510884,0.95135067093689,False
species_Bistorta bistortoides,-0.0263795353939391,0.0009281569332887937,True
species_Bombus vosnesenskii,0.001430056851725164,0.8575568586411954,False
species_Branta canadensis,0.023348474003444395,0.003380443578869391,True
species_Brodiaea elegans,0.004128081225080586,0.6043791482654979,False
species_Buteo jamaicensis,-0.02085563404616717,0.008848472739102105,True
species_Buteo lineatus,0.016709028433323544,0.03596886312784332,True
species_Calandrinia menziesii,-0.019428119361590213,0.014742921236300874,True
species_Callipepla californica,0.018432594602086926,0.020686797317125756,True
species_Callospermophilus lateralis,-0.030867330536846493,0.0001066028244764333,True
species_Calocedrus decurrens,0.061022393743351326,1.7744077090673086e-14,True
species_Calochortus albus,0.027281480720650148,0.0006154610777111964,True
species_Calochortus leichtlinii,-0.06516266977522411,2.6737127680419117e-16,True
species_Calochortus minimus,-0.018493415716833682,0.020271308715351412,True
species_Calochortus superbus,0.0030268606701124813,0.704020377355769,False
species_Calochortus venustus,0.038249402434847306,1.567750209511565e-06,True
species_Caloscypha fulgens,-0.0218602196747178,0.006069897989478173,True
species_Caltha leptosepala,-0.02425756767299357,0.0023268788861494174,True
species_Calycanthus occidentalis,0.03790202493081691,1.9479198366137613e-06,True
species_Calypte anna,0.011574959865712364,0.14627654709075774,False
species_Calyptridium monospermum,-0.03948903603659677,7.116328467667949e-07,True
species_Camponotus modoc,-0.015360346444283095,0.05385824868011941,False
species_Canis latrans,-0.0012036165920763634,0.8799246576452866,False
species_Castilleja applegatei,-0.02607015808742914,0.0010656516702559878,True
species_Castilleja miniata,-0.03342665764551968,2.7105017973501263e-05,True
species_Cathartes aura,-0.005582993430393885,0.48347703489500604,False
species_Ceanothus cordulatus,-0.040930063074518006,2.758470794463733e-07,True
