Feature,Importance
species_Toxicodendron diversilobum,0.054882556
species_Calochortus albus,0.046252687
species_Heteromeles arbutifolia,0.033920664
species_Elgaria multicarinata,0.029684791
species_Silene laciniata,0.024496365
species_Veratrum californicum,0.02107622
species_Adelinia grande,0.020730492
species_Calochortus leichtlinii,0.019599542
species_Aesculus californica,0.015681732
species_Lilium parvum,0.015624238
species_Chamaenerion angustifolium,0.013055257
species_Arctostaphylos viscida,0.012111389
species_Arctostaphylos patula,0.011549237
species_Penstemon newberryi,0.011537047
species_Ceanothus cordulatus,0.011454643
species_Lathyrus sulphureus,0.0110409
species_Taricha sierrae,0.011022668
species_Limenitis bredowii,0.010950506
species_Pyrola picta,0.010533298
species_Streptanthus tortuosus,0.010010596
species_Spiraea splendens,0.009930598
species_Branta canadensis,0.0096370075
species_Wyethia mollis,0.009378413
species_Artemisia douglasiana,0.009113689
species_Lonicera hispidula,0.009091437
species_Crotalus oreganus,0.009072193
species_Cirsium andersonii,0.009042436
species_Pseudacris regilla,0.008573067
species_Woodwardia fimbriata,0.00839358
species_Ipomopsis aggregata,0.00829698
species_Sarcodes sanguinea,0.008281022
species_Platanthera dilatata,0.007913045
species_Calyptridium monospermum,0.007672017
species_Ensatina eschscholtzii,0.007465924
species_Erythranthe erubescens,0.007331573
species_Corallorhiza maculata,0.0071298094
species_Digitalis purpurea,0.0071117333
species_Pterospora andromedea,0.0070271767
species_Monochamus scutellatus,0.00695527
species_Leptosiphon ciliatus,0.0068217576
species_Lilium washingtonianum,0.0067807627
species_Limenitis lorquini,0.00663333
species_Sciurus griseus,0.00656238
species_Lophocampa argentata,0.0063272347
species_Asclepias cordifolia,0.006258807
species_Ceanothus prostratus,0.0061921985
species_Hippodamia convergens,0.0059482804
species_Caloscypha fulgens,0.0059141326
species_Sedum spathulifolium,0.00587402
species_Asclepias speciosa,0.005871249
species_Monardella odoratissima,0.0058022942
species_Rhododendron occidentale,0.005657125
species_Viola lobata,0.005588566
species_Trichodes ornatus,0.005469976
species_Apocynum androsaemifolium,0.0054275915
species_Erythranthe bicolor,0.0054058614
species_Calochortus minimus,0.0052434257
species_Viola macloskeyi,0.0051208897
species_Asarum hartwegii,0.0050730663
species_Prunella vulgaris,0.004964936
species_Buteo jamaicensis,0.0048318575
species_Cryptoporus volvatus,0.004764188
species_Fragaria vesca,0.0047320924
species_Prunus emarginata,0.0047018286
species_Lysimachia latifolia,0.0046456237
species_Diplacus torreyi,0.00453195
