,species_Acer macrophyllum,species_Achillea millefolium,species_Aconitum columbianum,species_Actaea rubra,species_Adelinia grande,species_Adenocaulon bicolor,species_Aesculus californica,species_Agastache urticifolia,species_Allium campanulatum,species_Allium validum,species_Anaphalis margaritacea,species_Anas platyrhynchos,species_Anaxyrus boreas,species_Angelica capitellata,species_Apis mellifera,species_Apocynum androsaemifolium,species_Aquilegia formosa,species_Arctostaphylos nevadensis,species_Arctostaphylos patula,species_Arctostaphylos viscida,species_Ariolimax buttoni,species_Artemisia douglasiana,species_Asarum hartwegii,species_Asclepias cordifolia,species_Asclepias speciosa,species_Bistorta bistortoides,species_Boloria epithore,species_Bombus vosnesenskii,species_Branta canadensis,species_Buteo jamaicensis,species_Callospermophilus lateralis,species_Calochortus albus,species_Calochortus leichtlinii,species_Calochortus minimus,species_Caloscypha fulgens,species_Caltha leptosepala,species_Calvatia sculpta,species_Calyptridium monospermum,species_Camponotus modoc,species_Canis latrans,species_Castilleja applegatei,species_Castilleja miniata,species_Ceanothus cordulatus,species_Ceanothus integerrimus,species_Ceanothus parvifolius,species_Ceanothus prostratus,species_Ceanothus velutinus,species_Celastrina ladon,species_Certhia americana,species_Chamaebatia foliolosa,species_Chamaenerion angustifolium,species_Charina bottae,species_Chimaphila menziesii,species_Chimaphila umbellata,species_Chlorogalum pomeridianum,species_Chlosyne hoffmanni,species_Chlosyne palla,species_Cirsium andersonii,species_Cirsium vulgare,species_Clarkia rhomboidea,species_Colaptes auratus,species_Collinsia torreyi,species_Collomia grandiflora,species_Contopus sordidulus,species_Corallorhiza maculata,species_Cornus nuttallii,species_Cornus sericea,species_Corvus corax,species_Crotalus oreganus,species_Cryptoporus volvatus,species_Cyanocitta stelleri,species_Darmera peltata,species_Dendragapus fuliginosus,species_Dicentra formosa,species_Digitalis purpurea,species_Diplacus torreyi,species_Draperia systyla,species_Dryocopus pileatus,species_Elgaria coerulea,species_Elgaria multicarinata,species_Ensatina eschscholtzii,species_Epilobium canum,species_Equisetum arvense,species_Eriogonum nudum,species_Eriogonum umbellatum,species_Erysimum capitatum,species_Erythranthe bicolor,species_Erythranthe breweri,species_Erythranthe cardinalis,species_Erythranthe erubescens,species_Erythranthe guttata,species_Erythranthe moschata,species_Erythranthe primuloides,species_Erythronium purpurascens,species_Euphagus cyanocephalus,species_Fragaria vesca,species_Fragaria virginiana,species_Fritillaria atropurpurea,species_Goodyera oblongifolia,species_Hackelia mundula,species_Haemorhous cassinii,species_Helenium bigelovii,species_Heracleum maximum,species_Heteromeles arbutifolia,species_Hieracium albiflorum,species_Hippodamia convergens,species_Hosackia crassifolia,species_Hosackia oblongifolia,species_Hyles lineata,species_Ipomopsis aggregata,species_Iris hartwegii,species_Junco hyemalis,species_Kelloggia galioides,species_Laetiporus conifericola,species_Lathyrus latifolius,species_Lathyrus sulphureus,species_Leptosiphon ciliatus,species_Letharia columbiana,species_Letharia vulpina,species_Leuconotopicus albolarvatus,species_Leuconotopicus villosus,species_Lilium kelleyanum,species_Lilium pardalinum,species_Lilium parvum,species_Lilium washingtonianum,species_Limenitis bredowii,species_Limenitis lorquini,species_Lonicera conjugialis,species_Lonicera hispidula,species_Lonicera involucrata,species_Lophocampa argentata,species_Lupinus stiversii,species_Lysimachia latifolia,species_Maianthemum racemosum,species_Maianthemum stellatum,species_Marmota flaviventris,species_Monardella odoratissima,species_Monochamus scutellatus,species_Myadestes townsendi,species_Navarretia leptalea,species_Nemophila maculata,species_Neolentinus ponderosus,species_Nymphalis antiopa,species_Nymphalis californica,species_Odocoileus hemionus,species_Otospermophilus beecheyi,species_Paeonia brownii,species_Papilio eurymedon,species_Papilio rutulus,species_Parnassius clodius,species_Passerella iliaca,species_Pedicularis semibarbata,species_Pellaea bridgesii,species_Penstemon laetus,species_Penstemon newberryi,species_Penstemon rostriflorus,species_Penstemon speciosus,species_Phacelia hydrophylloides,species_Pheucticus melanocephalus,species_Phlox diffusa,species_Phyllodoce breweri,species_Pipilo chlorurus,species_Piranga ludoviciana,species_Platanthera dilatata,species_Poecile gambeli,species_Polemonium californicum,species_Polemonium occidentale,species_Prunella vulgaris,species_Prunus emarginata,species_Pseudacris regilla,species_Pteridium aquilinum,species_Pterospora andromedea,species_Purshia tridentata,species_Pyrola picta,species_Rhododendron occidentale,species_Ribes cereum,species_Ribes nevadense,species_Ribes roezlii,species_Rosa woodsii,species_Rubus parviflorus,species_Sambucus cerulea,species_Sarcodes sanguinea,species_Sceloporus graciosus,species_Sceloporus occidentalis,species_Sciurus griseus,species_Sedum obtusatum,species_Sedum spathulifolium,species_Senecio integerrimus,species_Senecio triangularis,species_Setophaga coronata,species_Sidalcea glaucescens,species_Sidalcea oregana,species_Silene laciniata,species_Sitta canadensis,species_Smithiastrum prenanthoides,species_Sphyrapicus ruber,species_Sphyrapicus thyroideus,species_Spiraea splendens,species_Streptanthus tortuosus,species_Tamiasciurus douglasii,species_Taricha sierrae,species_Thamnophis couchii,species_Thamnophis elegans,species_Toxicodendron diversilobum,species_Tragopogon dubius,species_Trichodes ornatus,species_Trifolium longipes,species_Triteleia hyacinthina,species_Triteleia ixioides,species_Turdus migratorius,species_Ursus americanus,species_Valeriana californica,species_Vanessa cardui,species_Veratrum californicum,species_Verbascum thapsus,species_Viola glabella,species_Viola lobata,species_Viola macloskeyi,species_Viola pinetorum,species_Viola purpurea,species_Viola sheltonii,species_Woodwardia fimbriata,species_Wyethia mollis,species_Wyethia sagittata
species_Acer macrophyllum,0,11,0,1,15,6,15,0,0,0,0,1,0,0,4,4,8,0,0,12,15,10,11,13,2,0,0,5,4,3,0,10,0,0,0,0,0,0,3,2,0,0,0,15,0,4,0,5,1,18,0,0,2,3,15,0,1,0,4,6,2,0,0,1,4,17,0,2,6,2,7,7,0,15,4,0,1,4,1,10,11,2,0,0,0,1,0,0,8,0,2,1,0,0,0,2,1,0,7,0,0,0,0,14,1,7,0,0,4,0,12,6,0,0,12,10,0,0,0,0,2,0,2,0,0,10,6,0,19,1,3,2,18,5,0,0,1,1,0,0,0,1,1,5,9,1,0,3,3,0,1,0,0,3,0,0,0,0,5,0,0,0,3,0,2,0,0,12,1,10,13,1,0,0,2,0,1,10,0,7,2,0,0,9,5,0,7,0,0,0,0,0,17,3,4,3,0,0,2,1,8,3,1,21,2,0,0,0,4,7,4,0,2,0,5,0,7,0,0,3,5,11,0,0
species_Achillea millefolium,11,0,0,0,12,2,11,1,0,0,0,1,2,0,8,2,7,0,1,8,7,8,9,7,0,0,1,4,0,3,0,10,0,2,0,0,0,2,1,2,0,0,1,5,0,1,0,1,1,17,1,1,1,1,10,0,1,0,4,6,4,0,5,3,1,6,0,4,6,3,5,1,0,5,3,2,0,3,2,6,2,2,2,0,0,1,5,0,5,0,3,2,0,0,2,3,1,2,3,0,0,2,1,9,3,6,3,3,2,0,6,6,1,2,7,11,2,3,1,4,5,3,0,2,2,8,5,0,10,1,0,3,7,5,0,0,1,0,1,0,0,0,0,4,9,2,0,6,5,0,0,0,0,4,2,0,0,0,4,0,0,0,2,1,2,0,0,9,0,3,10,8,0,1,2,1,2,7,0,5,5,8,1,12,5,0,4,0,0,2,0,0,15,1,1,3,0,0,2,6,3,2,0,12,3,2,0,4,4,3,3,0,2,1,4,0,3,0,0,6,5,3,0,0
species_Aconitum columbianum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
species_Actaea rubra,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,2,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
species_Adelinia grande,15,12,0,0,0,1,15,0,0,0,0,1,1,0,4,5,7,0,0,7,7,11,8,9,0,0,0,3,0,1,0,13,0,0,0,0,0,0,1,0,1,0,0,8,0,5,0,2,1,28,0,0,1,2,11,0,0,0,4,5,2,0,0,0,2,8,0,1,3,3,4,5,0,13,1,0,0,3,0,9,4,2,1,0,0,2,2,0,4,0,2,0,0,0,0,0,0,0,4,0,0,0,0,15,3,2,0,0,1,0,9,5,0,0,10,9,0,0,0,0,1,0,1,0,0,7,3,0,16,0,1,2,20,6,0,0,1,0,0,0,0,0,0,5,4,1,0,2,5,0,0,0,0,4,0,0,0,0,2,0,0,0,1,0,0,0,0,4,0,11,6,1,0,0,0,0,1,11,0,4,2,0,0,9,6,0,10,0,0,1,0,0,20,1,1,0,0,0,3,1,11,2,0,21,2,0,0,0,7,4,1,0,4,0,4,0,5,0,0,3,9,5,0,0
species_Adenocaulon bicolor,6,2,0,1,1,0,0,0,0,0,0,1,0,0,2,1,6,0,0,3,3,1,3,4,0,0,0,3,2,1,0,1,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,3,1,0,0,2,2,0,0,0,1,1,1,0,3,2,1,8,0,1,1,0,3,2,0,7,2,0,1,3,0,2,3,1,0,0,0,0,1,0,1,0,0,1,0,0,1,3,0,1,5,0,0,0,0,3,2,5,1,1,2,0,5,2,0,0,3,4,2,0,0,2,2,0,0,1,1,6,3,0,5,0,2,1,5,9,0,0,0,0,0,0,0,0,0,1,4,1,0,4,1,0,1,0,0,0,0,0,0,0,2,0,0,0,2,0,2,0,0,7,0,2,7,2,0,1,3,0,2,6,0,7,1,2,0,5,3,0,1,0,0,1,0,0,5,0,5,3,0,0,1,2,1,1,1,6,0,1,0,0,1,5,2,0,1,0,1,0,4,0,0,2,0,3,0,0
species_Aesculus californica,15,11,0,0,15,0,0,0,0,0,0,1,1,0,5,2,3,0,0,9,7,11,5,8,0,0,0,2,3,3,0,22,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,1,1,16,0,0,2,0,12,0,2,0,3,4,0,0,0,0,0,1,0,0,3,4,1,0,0,4,2,0,0,2,0,9,0,3,2,0,0,1,0,0,4,0,1,0,0,0,1,0,1,0,0,0,0,0,0,17,3,4,0,1,1,0,1,2,0,0,5,8,0,0,0,0,0,0,0,0,0,7,2,0,13,1,0,2,9,2,0,0,0,1,0,0,0,0,0,3,9,0,0,1,5,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,4,0,5,4,0,0,0,0,0,0,3,0,1,3,0,0,10,3,0,6,0,0,0,0,0,18,0,0,0,0,0,1,0,7,5,0,18,0,1,0,3,4,2,0,0,0,0,4,0,0,0,0,0,5,8,0,0
species_Agastache urticifolia,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,1,0,1,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
species_Allium campanulatum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
species_Allium validum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
