species,cramer_v,odds_ratio,co_occurrence_ratio,p_value,chi2_statistic,adjusted_p_value,preference_index,relative_risk,interpretation,cooccurrence_zscore,relative_strength,co_occurrence_ratio_percentile,cramer_v_percentile,odds_ratio_percentile,rank
species_Acer macrophyllum,0.09548197977241887,3.433209013008466,0.40512820512820513,3.923483137299053e-18,75.35953874078018,5.1697660162058115e-17,0.28226386565315187,inf,"Very strong association with VCM (z-score: 1.3, ranked #17 of 163 significant species)
Co-occurrence ratio: 40.5% (higher than 90.2% of significant species)
Effect size (Cramer's V): 0.095 (stronger than 90.2% of significant species)
Odds ratio: 3.4 (higher than 90.2% of significant species)
p=5.2e-17",1.3244100566508952,strong,0.901840490797546,0.901840490797546,0.901840490797546,17.0
species_Aconitum columbianum,0.055464189108999924,0.0,0.0,4.590855946504919e-07,25.42849967690728,1.8363423786019676e-06,-0.20653919135892573,inf,"Below average association with VCM (z-score: -0.7, ranked #153 of 163 significant species)
Co-occurrence ratio: 0.0% (higher than 6.4% of significant species)
Effect size (Cramer's V): 0.055 (stronger than 66.6% of significant species)
Odds ratio: 0.0 (higher than 6.4% of significant species)
p=1.8e-06",-0.675156762321988,weak,0.06441717791411043,0.6656441717791411,0.06441717791411043,153.5
species_Actaea rubra,0.02409688381734497,0.3155534384403574,0.06153846153846154,0.028464131526862932,4.799733987034936,0.039823941677711056,-0.13229062573683797,inf,"Below average association with VCM (z-score: -0.4, ranked #67 of 163 significant species)
Co-occurrence ratio: 6.2% (higher than 59.5% of significant species)
Effect size (Cramer's V): 0.024 (stronger than 2.5% of significant species)
Odds ratio: 0.3 (higher than 59.5% of significant species)
p=4.0e-02",-0.37142509361724624,weak,0.5950920245398773,0.024539877300613498,0.5950920245398773,67.0
species_Adelinia grande,0.15706847463081253,13.783756495916853,0.7311827956989247,2.9043167960027518e-46,203.92640030507977,1.3011339246092326e-44,0.6756615076992135,inf,"Exceptionally strong association with VCM (z-score: 2.9, ranked #5 of 163 significant species)
Co-occurrence ratio: 73.1% (higher than 97.5% of significant species)
Effect size (Cramer's V): 0.157 (stronger than 97.5% of significant species)
Odds ratio: 13.8 (higher than 97.5% of significant species)
p=1.3e-44",2.933698010997793,very_strong,0.9754601226993865,0.9754601226993865,0.9754601226993865,5.0
species_Aesculus californica,0.1617669562161596,44.3936612824278,0.8983050847457628,5.7738758120001274e-49,216.3092187883625,3.2333704547200713e-47,0.8773010991838381,inf,"Exceptionally strong association with VCM (z-score: 3.8, ranked #3 of 163 significant species)
Co-occurrence ratio: 89.8% (higher than 98.8% of significant species)
Effect size (Cramer's V): 0.162 (stronger than 98.2% of significant species)
Odds ratio: 44.4 (higher than 98.8% of significant species)
p=3.2e-47",3.7585534016095177,very_strong,0.9877300613496932,0.9815950920245399,0.9877300613496932,3.0
species_Agastache urticifolia,0.041214861779732145,0.14199366112248618,0.028846153846153848,0.00017885225239576953,14.041163497364371,0.0003744196685668446,-0.1717351762235721,inf,"Below average association with VCM (z-score: -0.5, ranked #103 of 163 significant species)
Co-occurrence ratio: 2.9% (higher than 37.4% of significant species)
Effect size (Cramer's V): 0.041 (stronger than 35.0% of significant species)
Odds ratio: 0.1 (higher than 37.4% of significant species)
p=3.7e-04",-0.5327825426166403,weak,0.37423312883435583,0.3496932515337423,0.37423312883435583,103.0
species_Allium campanulatum,0.052882996112530826,0.20151522025132695,0.04081632653061224,1.524537262762185e-06,23.1167888226085,5.6916057809788246e-06,-0.15729269375243898,inf,"Below average association with VCM (z-score: -0.5, ranked #85 of 163 significant species)
Co-occurrence ratio: 4.1% (higher than 48.5% of significant species)
Effect size (Cramer's V): 0.053 (stronger than 63.8% of significant species)
Odds ratio: 0.2 (higher than 47.9% of significant species)
p=5.7e-06",-0.47370208409945525,weak,0.48466257668711654,0.6380368098159509,0.4785276073619632,85.0
species_Allium validum,0.03640121201132132,0.07054455445544554,0.014492753623188406,0.0009345981694969022,10.952848717892893,0.0015740600749421512,-0.18905311612183984,inf,"Below average association with VCM (z-score: -0.6, ranked #120 of 163 significant species)
Co-occurrence ratio: 1.4% (higher than 26.7% of significant species)
Effect size (Cramer's V): 0.036 (stronger than 19.0% of significant species)
Odds ratio: 0.1 (higher than 27.0% of significant species)
p=1.6e-03",-0.6036257533879003,weak,0.2668711656441718,0.1901840490797546,0.26993865030674846,120.5
species_Anaphalis margaritacea,0.040938223651485396,0.058379618449649846,0.012048192771084338,0.00019764883584790367,13.85330479533889,0.00039885891198135516,-0.19200257459556516,inf,"Below average association with VCM (z-score: -0.6, ranked #129 of 163 significant species)
Co-occurrence ratio: 1.2% (higher than 21.2% of significant species)
Effect size (Cramer's V): 0.041 (stronger than 32.8% of significant species)
Odds ratio: 0.1 (higher than 21.2% of significant species)
p=4.0e-04",-0.6156912247743729,weak,0.2116564417177914,0.3282208588957055,0.2116564417177914,129.5
species_Angelica capitellata,0.05592648208046841,0.0,0.0,3.6821059076132116e-07,25.85415837501622,1.52739208019511e-06,-0.20653919135892573,inf,"Below average association with VCM (z-score: -0.7, ranked #153 of 163 significant species)
Co-occurrence ratio: 0.0% (higher than 6.4% of significant species)
Effect size (Cramer's V): 0.056 (stronger than 67.5% of significant species)
Odds ratio: 0.0 (higher than 6.4% of significant species)
p=1.5e-06",-0.675156762321988,weak,0.06441717791411043,0.6748466257668712,0.06441717791411043,153.5
species_Apocynum androsaemifolium,0.04825370948309964,0.37439701145069165,0.07342657342657342,1.1486733511340832e-05,19.24672367841696,3.430704408720462e-05,-0.11794715283257104,inf,"Below average association with VCM (z-score: -0.3, ranked #61 of 163 significant species)
Co-occurrence ratio: 7.3% (higher than 63.2% of significant species)
Effect size (Cramer's V): 0.048 (stronger than 54.6% of significant species)
Odds ratio: 0.4 (higher than 63.2% of significant species)
p=3.4e-05",-0.3127496576174666,weak,0.6319018404907976,0.5460122699386503,0.6319018404907976,61.0
species_Aquilegia formosa,0.07312242424637876,0.37885403779443516,0.0764525993883792,2.968777833631604e-11,44.19738387609872,1.8472395409263314e-10,-0.11429613391558278,inf,"Below average association with VCM (z-score: -0.3, ranked #57 of 163 significant species)
Co-occurrence ratio: 7.6% (higher than 65.6% of significant species)
Effect size (Cramer's V): 0.073 (stronger than 78.5% of significant species)
Odds ratio: 0.4 (higher than 63.8% of significant species)
p=1.8e-10",-0.29781428399996557,weak,0.656441717791411,0.7852760736196319,0.6380368098159509,57.0
species_Arctostaphylos nevadensis,0.058682148496181676,0.05881499650538698,0.012269938650306749,9.541990492226285e-08,28.464752567889363,4.362052796446302e-07,-0.19173502950176097,inf,"Below average association with VCM (z-score: -0.6, ranked #128 of 163 significant species)
Co-occurrence ratio: 1.2% (higher than 22.1% of significant species)
Effect size (Cramer's V): 0.059 (stronger than 70.6% of significant species)
Odds ratio: 0.1 (higher than 22.1% of significant species)
p=4.4e-07",-0.6145967670280977,weak,0.22085889570552147,0.7055214723926381,0.22085889570552147,128.0
