Species,Co-occurrence (%),Cramer's V,Odds Ratio,P-value,Z-score
Calochortus albus,98.6,0.203,367.24,2.2e-73,4.19
Heteromeles arbutifolia,90.7,0.185,49.36,1.0e-61,3.8
Aesculus californica,89.8,0.162,44.39,3.2e-47,3.76
Toxicodendron diversilobum,77.1,0.19,17.37,4.8e-65,3.13
Adelinia grande,73.1,0.157,13.78,1.3e-44,2.93
Lonicera hispidula,71.2,0.134,12.41,1.2e-32,2.84
Elgaria multicarinata,69.7,0.152,11.66,5.6e-42,2.76
Woodwardia fimbriata,58.0,0.098,6.84,1.1e-17,2.19
Lathyrus sulphureus,56.6,0.114,6.52,8.6e-24,2.12
Silene laciniata,53.8,0.151,6.02,4.1e-41,1.98
Chlorogalum pomeridianum,50.0,0.092,4.97,6.5e-16,1.79
Sedum spathulifolium,49.4,0.084,4.83,2.5e-13,1.76
Arctostaphylos viscida,47.8,0.127,4.68,1.3e-29,1.68
Taricha sierrae,46.8,0.096,4.39,4.1e-17,1.63
Lysimachia latifolia,43.6,0.096,3.88,3.1e-17,1.48
