Species,Total_Occurrences,VCM_Occurrences,Non_VCM_Occurrences,Percent_in_VCM,VCM_Frequency,Non_VCM_Frequency,Frequency_Ratio,p_value,Preference,adjusted_p_value,significant,VCM_Preference_Strength,abs_preference
species_Calochortus albus,73,72,1,98.63013698630137,5.088339222614842,0.014596409283316304,348.6021201413428,3.910238475093158e-54,VCM,8.758934184208674e-52,True,81.5118209930761,81.5118209930761
species_Heteromeles arbutifolia,75,68,7,90.66666666666666,4.80565371024735,0.10217486498321413,47.033619384149425,4.0874253659949557e-44,VCM,3.0519442732762336e-42,True,73.5483506734414,73.5483506734414
species_Aesculus californica,59,53,6,89.83050847457628,3.745583038869258,0.08757845569989783,42.76831566548881,3.5317733456527346e-34,VCM,1.582234458852425e-32,True,72.71219248135102,72.71219248135102
species_Toxicodendron diversilobum,118,91,27,77.11864406779661,6.4310954063604235,0.3941030506495402,16.318309121842688,3.742077253262093e-46,VCM,4.191126523653545e-44,True,60.00032807457135,60.00032807457135
species_Adelinia grande,93,68,25,73.11827956989248,4.80565371024735,0.36491023208290757,13.16941342756184,2.2314553494587598e-32,VCM,8.33076663797937e-31,True,55.99996357666722,55.99996357666722
species_Lonicera hispidula,73,52,21,71.23287671232876,3.674911660777385,0.3065245949496424,11.988961803802793,3.1607386556444008e-24,VCM,6.436413262403144e-23,True,54.1145607191035,54.1145607191035
species_Elgaria multicarinata,99,69,30,69.6969696969697,4.876325088339223,0.43789227849948914,11.13590106007067,1.036732498225632e-30,VCM,2.580311995583795e-29,True,52.57865370374444,52.57865370374444
species_Woodwardia fimbriata,69,40,29,57.971014492753625,2.8268551236749118,0.42329586921617285,6.6782015352747655,2.6106071406986593e-14,VCM,1.9492533317216657e-13,True,40.852698499528366,40.852698499528366
species_Lathyrus sulphureus,99,56,43,56.56565656565656,3.9575971731448765,0.6276455991826011,6.305464705398965,9.495225931475715e-19,VCM,1.1194371624476632e-17,True,39.4473405724313,39.4473405724313
species_Silene laciniata,195,105,90,53.84615384615385,7.420494699646643,1.3136768354984674,5.64864546525324,2.922272901825078e-31,VCM,8.182364125110219e-30,True,36.72783785292859,36.72783785292859
species_Chlorogalum pomeridianum,94,47,47,50.0,3.3215547703180213,0.6860312363158663,4.841696113074205,2.807222708374762e-13,VCM,1.9055087475028687e-12,True,32.88168400677474,32.88168400677474
species_Sedum spathulifolium,81,40,41,49.382716049382715,2.8268551236749118,0.5984527806159685,4.723605963974834,2.6394443619026852e-11,VCM,1.5159885565800038e-10,True,32.264400056157456,32.264400056157456
species_Arctostaphylos viscida,201,96,105,47.76119402985074,6.784452296819787,1.532622974748212,4.426693589096415,1.346930640088851e-23,VCM,2.3208651029223277e-22,True,30.642878036625483,30.642878036625483
species_Taricha sierrae,124,58,66,46.774193548387096,4.098939929328622,0.963363012698876,4.2548238569439985,2.2015472538773837e-14,VCM,1.70050546506391e-13,True,29.655877555161837,29.655877555161837
species_Lysimachia latifolia,156,68,88,43.58974358974359,4.80565371024735,1.2844840169318348,3.741310632830068,1.1008644496032358e-14,VCM,9.48437064273557e-14,True,26.471427596518332,26.471427596518332
species_Artemisia douglasiana,114,47,67,41.228070175438596,3.3215547703180213,0.9779594219821923,3.3964136912610097,1.7238846246358688e-09,VCM,7.723003118368692e-09,True,24.109754182213337,24.109754182213337
species_Acer macrophyllum,195,79,116,40.51282051282051,5.58303886925795,1.6931834768646914,3.2973620080419153,1.691075818125418e-14,VCM,1.4029666046670136e-13,True,23.39450451959525,23.39450451959525
species_Ariolimax buttoni,87,35,52,40.229885057471265,2.4734982332155475,0.7590132827324478,3.2588339222614837,3.8562760763094393e-07,VCM,1.121825767653655e-06,True,23.111569064246005,23.111569064246005
species_Asarum hartwegii,138,52,86,37.68115942028986,3.674911660777385,1.2552911983652022,2.9275371846495193,9.507487828858347e-09,VCM,3.671857368386671e-08,True,20.5628434270646,20.5628434270646
species_Asclepias cordifolia,212,79,133,37.264150943396224,5.58303886925795,1.9413224346810685,2.8758946837057304,2.983610169600266e-12,VCM,1.9095105085441704e-11,True,20.145834950170965,20.145834950170965
species_Digitalis purpurea,68,24,44,35.294117647058826,1.6961130742049468,0.6422420084659174,2.64092515258593,0.0002834171738740587,VCM,0.00048331612021706923,True,18.175801653833567,18.175801653833567
species_Branta canadensis,77,27,50,35.064935064935064,1.9081272084805656,0.7298204641658151,2.6145159010600714,0.0001896917631010501,VCM,0.00033196058542683766,True,17.946619071709804,17.946619071709804
species_Lathyrus latifolius,154,54,100,35.064935064935064,3.816254416961131,1.4596409283316303,2.6145159010600714,7.750274938053718e-08,VCM,2.591136695707512e-07,True,17.946619071709804,17.946619071709804
