Species,Cluster,IndVal,Specificity,Fidelity,pvalue,pvalue_adj,indval_zscore,relative_strength,interpretation,indval_percentile,specificity_percentile,fidelity_percentile,rank
species_Acer macrophyllum,1,4.283860708607284,0.7672991016049755,0.0558303886925795,0.0002,0.0007859649122807018,1.3814311850004366,strong,"Very strong indicator (z-score: 1.1, ranked #23 of 162 significant species)
IndVal: 4.3 (stronger than 86.4% of significant species)
Specificity: 76.7% (better than 32.1% of significant species)
Fidelity: 5.6% (better than 88.0% of significant species)
p=2.0e-04",0.8641975308641975,0.32098765432098764,0.8796296296296297,23.0
species_Aconitum columbianum,0,1.8537439789811705,1.0,0.018537439789811705,0.0002,0.0007859649122807018,-0.1705106899280827,below_average,"Below average indicator (z-score: -0.4, ranked #86 of 162 significant species)
IndVal: 1.9 (stronger than 47.2% of significant species)
Specificity: 100.0% (better than 94.1% of significant species)
Fidelity: 1.9% (better than 35.5% of significant species)
p=2.0e-04",0.4722222222222222,0.941358024691358,0.3549382716049383,86.5
species_Adelinia grande,1,4.466496854191505,0.9294254483354382,0.0480565371024735,0.0002,0.0007859649122807018,1.4980678381917027,strong,"Very strong indicator (z-score: 1.2, ranked #21 of 162 significant species)
IndVal: 4.5 (stronger than 87.7% of significant species)
Specificity: 92.9% (better than 70.4% of significant species)
Fidelity: 4.8% (better than 82.7% of significant species)
p=2.0e-04",0.8765432098765432,0.7037037037037037,0.8271604938271605,21.0
species_Aesculus californica,1,3.660005538754885,0.977152422139276,0.03745583038869258,0.0002,0.0007859649122807018,0.983019474903884,above_average,"Above average indicator (z-score: 0.7, ranked #32 of 162 significant species)
IndVal: 3.7 (stronger than 80.9% of significant species)
Specificity: 97.7% (better than 86.4% of significant species)
Fidelity: 3.7% (better than 72.2% of significant species)
p=2.0e-04",0.808641975308642,0.8641975308641975,0.7222222222222222,32.0
species_Agastache urticifolia,0,1.2888799588007442,0.8742689700736535,0.014742373376149467,0.0036,0.007330909090909091,-0.5312489688227541,below_average,"Below average indicator (z-score: -0.7, ranked #123 of 162 significant species)
IndVal: 1.3 (stronger than 24.7% of significant species)
Specificity: 87.4% (better than 58.6% of significant species)
Fidelity: 1.5% (better than 24.7% of significant species)
p=3.6e-03",0.24691358024691357,0.5864197530864198,0.24691358024691357,123.0
species_Allium campanulatum,0,2.2753379316611615,0.8291670303090753,0.027441249452634653,0.0004,0.0012619718309859157,0.09873123635641173,above_average,"Below average indicator (z-score: -0.1, ranked #66 of 162 significant species)
IndVal: 2.3 (stronger than 59.9% of significant species)
Specificity: 82.9% (better than 45.7% of significant species)
Fidelity: 2.7% (better than 54.9% of significant species)
p=4.0e-04",0.5987654320987654,0.4567901234567901,0.5493827160493827,66.0
species_Allium validum,0,0.9265818909719247,0.9335312551542141,0.009925558312655087,0.0098,0.016886153846153846,-0.7626228513258162,below_average,"Below average indicator (z-score: -0.9, ranked #152 of 162 significant species)
IndVal: 0.9 (stronger than 6.8% of significant species)
Specificity: 93.4% (better than 71.3% of significant species)
Fidelity: 1.0% (better than 5.6% of significant species)
p=9.8e-03",0.06790123456790123,0.7129629629629629,0.05555555555555555,152.0
species_Anaphalis margaritacea,0,1.1301743334587255,0.9442468729909425,0.01196905561231937,0.0028,0.006149019607843137,-0.6326029090480414,below_average,"Below average indicator (z-score: -0.8, ranked #136 of 162 significant species)
IndVal: 1.1 (stronger than 16.4% of significant species)
Specificity: 94.4% (better than 77.5% of significant species)
Fidelity: 1.2% (better than 12.0% of significant species)
p=2.8e-03",0.16358024691358025,0.7746913580246914,0.12037037037037036,136.5
species_Angelica capitellata,0,1.882936797547803,1.0,0.01882936797547803,0.0004,0.0012619718309859157,-0.15186732311840753,below_average,"Below average indicator (z-score: -0.4, ranked #83 of 162 significant species)
IndVal: 1.9 (stronger than 49.4% of significant species)
Specificity: 100.0% (better than 94.1% of significant species)
Fidelity: 1.9% (better than 37.7% of significant species)
p=4.0e-04",0.49382716049382713,0.941358024691358,0.3765432098765432,83.0
species_Apocynum androsaemifolium,0,2.79547586628413,0.7227096286759462,0.038680484600788205,0.003,0.0064,0.4309061609759435,above_average,"Above average indicator (z-score: 0.2, ranked #48 of 162 significant species)
IndVal: 2.8 (stronger than 71.0% of significant species)
Specificity: 72.3% (better than 23.5% of significant species)
Fidelity: 3.9% (better than 73.5% of significant species)
p=3.0e-03",0.7098765432098766,0.2345679012345679,0.7345679012345679,48.0
