species,A,B,IndVal,pvalue
species_Arbutus menziesii,4.906067114180142,0.12985274431057564,63.706627854815764,0.01
species_Chamaebatia foliolosa,2.5120830717410585,0.1927710843373494,48.42569776850233,0.01
species_Silene laciniata,3.180942348629491,0.12315930388219545,39.1762645346604,0.01
species_Quercus kelloggii,2.1749583928703036,0.1680053547523427,36.54046563657605,0.01
species_Calocedrus decurrens,2.0530291549273136,0.15194109772423026,31.193950345950483,0.01
species_Lysimachia latifolia,3.913799528008943,0.07228915662650602,28.29252670849838,0.01
species_Quercus chrysolepis,2.653723446417248,0.10240963855421686,27.176685897044106,0.01
species_Dicentra formosa,3.2002286603059633,0.07028112449799197,22.491566889700547,0.01
species_Arctostaphylos viscida,2.070705883786555,0.10107095046854082,20.928821181510692,0.01
species_Adelinia grande,2.4853968001226643,0.07161981258366801,17.80036530208334,0.01
species_Acer macrophyllum,2.4166806113342263,0.06626506024096386,16.014148629323188,0.01
species_Lathyrus sulphureus,3.272746157041961,0.04819277108433735,15.7722706363468,0.01
species_Lathyrus latifolius,2.866398479825342,0.05421686746987952,15.540714649655468,0.01
species_Pinus ponderosa,2.8991107614881058,0.0535475234270415,15.524020141837248,0.01
species_Toxicodendron diversilobum,1.8417519844636763,0.08299866131191433,15.286294917904678,0.01
species_Asarum hartwegii,2.809824825618263,0.05421686746987952,15.23399001841227,0.01
species_Pseudotsuga menziesii,2.88969638935338,0.051539491298527446,14.89334819144647,0.01
species_Limenitis bredowii,1.883702749931022,0.0783132530120482,14.751889005483907,0.02
species_Iris hartwegii,1.9474296722313176,0.07095046854082998,13.817104769512694,0.01
species_Taricha sierrae,1.7515667693605472,0.06492637215528782,11.372287592233809,0.11
species_Pseudacris regilla,1.1859438834084992,0.09303882195448461,11.03388218164534,0.16
species_Sceloporus occidentalis,1.1361632671302306,0.09504685408299866,10.798874426539006,0.25
species_Rubus armeniacus,2.843153660393207,0.03681392235609103,10.466763810015152,0.01
species_Woodwardia fimbriata,2.8760496531580872,0.03413654618473896,9.81784018146335,0.01
species_Asclepias cordifolia,1.3405316179974134,0.07028112449799197,9.421406953797081,0.06
species_Ensatina eschscholtzii,2.662481609606744,0.03413654618473896,9.088792643235873,0.01
species_Calochortus venustus,2.023267488558887,0.04417670682730924,8.938129467529219,0.01
species_Prunella vulgaris,2.1454669251719523,0.039491298527443104,8.4727274822721,0.01
species_Elgaria multicarinata,1.797230693869882,0.04551539491298527,8.180166478122622,0.01
species_Sedum spathulifolium,2.229133335510062,0.03480589022757698,7.758697017839573,0.02
species_Umbellularia californica,1.6952601580474775,0.04551539491298527,7.716043557378077,0.03
species_Collinsia tinctoria,2.250298264186453,0.03413654618473896,7.6817410624838764,0.01
species_Odocoileus hemionus,0.840022672388902,0.08701472556894244,7.309434230960996,0.85
species_Pteridium aquilinum,1.207501762776296,0.060240963855421686,7.274107004676482,0.16
species_Ceanothus integerrimus,1.7122872935039124,0.04216867469879518,7.22048858706469,0.02
species_Crotalus oreganus,1.546060243893151,0.04484605087014726,6.933469634594452,0.01
species_Artemisia douglasiana,2.006795840076725,0.03413654618473896,6.850507887812114,0.01
species_Chlorogalum pomeridianum,1.4699809338363554,0.04618473895582329,6.789068569926942,0.03
species_Meleagris gallopavo,1.5266336317802762,0.04350736278447122,6.6419803256839325,0.14
species_Heteromeles arbutifolia,1.2885195659379212,0.050870147255689425,6.554718006109907,0.09
species_Lupinus stiversii,1.659161088799643,0.039491298527443104,6.552242586290424,0.05
species_Vinca major,2.244837435550784,0.028781793842034806,6.461044827890476,0.01
species_Hippodamia convergens,1.3090984628167845,0.04819277108433735,6.308908254538721,0.15
species_Cyanocitta stelleri,0.9238991363684829,0.06626506024096386,6.1222231928032,0.5
species_Calochortus albus,1.084239036931078,0.05622489959839357,6.09612309921088,0.33
species_Cornus nuttallii,1.0570987654320987,0.05555555555555555,5.872770919067214,0.49
species_Branta canadensis,1.905816035225238,0.030120481927710843,5.740409744654331,0.01
species_Fritillaria micrantha,2.25128980340839,0.025435073627844713,5.7261721907308445,0.02
species_Erythranthe cardinalis,1.4763721552878182,0.03748326639892905,5.533925080061434,0.04
species_Ribes roezlii,1.0545515394912985,0.049531459170013385,5.223347652098801,0.34
species_Nemophila heterophylla,1.8477185093650959,0.02744310575635877,5.07071344604879,0.01
species_Sciurus griseus,1.367932421509939,0.03681392235609103,5.035895795384649,0.18
species_Madia elegans,1.435515184647841,0.03480589022757698,4.9964383936872645,0.05
species_Viola lobata,1.2954620204957763,0.03815261044176707,4.942525781007983,0.22
species_Diplacus grandiflorus,2.030152696346885,0.024096385542168676,4.891934208064784,0.08
species_Pinus monophylla,1.7294645247657299,0.02744310575635877,4.746187785501668,0.04
species_Nemophila menziesii,1.6955534556526763,0.02744310575635877,4.6531252799035965,0.08
species_Verbascum thapsus,1.214332075777859,0.03815261044176707,4.632993863409503,0.15
species_Aesculus californica,0.907553446107663,0.04752342704149933,4.313004998235882,0.79
species_Pheucticus melanocephalus,1.5338931483509797,0.02677376171352075,4.1068089647951265,0.08
species_Adiantum jordanii,1.6833217062302417,0.022757697456492636,3.8308526112334818,0.06
species_Claytonia parviflora,1.7394664568928635,0.0214190093708166,3.7257648340409393,0.02
species_Dodecatheon hendersonii,1.649298616266012,0.02208835341365462,3.6430290720735203,0.06
species_Ursus americanus,0.7713543131075329,0.04685408299866131,3.6141099007715733,0.96
species_Junco hyemalis,0.8962194386611603,0.040160642570281124,3.5992748540608845,0.65
species_Darmera peltata,1.4011523951282987,0.025435073627844713,3.5638414333919246,0.09
species_Pinus lambertiana,1.116304557569618,0.03145917001338688,3.511801486330124,0.39
species_Asclepias speciosa,1.4380248265790434,0.024096385542168676,3.465120064045888,0.21
species_Frangula californica,1.6679131491954213,0.020749665327978582,3.4608639641939805,0.02
species_Collomia grandiflora,1.0120456233121868,0.03346720214190094,3.3870335452215086,0.56
species_Goodyera oblongifolia,1.3670112548961277,0.023427041499330656,3.2025029398503664,0.18
species_Maianthemum racemosum,0.9200785243883814,0.03480589022757698,3.202415212061301,0.67
species_Papilio rutulus,1.4060687193217314,0.022757697456492636,3.1998886517362024,0.1
species_Aquilegia formosa,0.5854502573423231,0.05287817938420348,3.0957543728275456,1.0
species_Clarkia rhomboidea,1.4859589874650116,0.020749665327978582,3.083315168100091,0.1
species_Calycanthus occidentalis,1.435985075051981,0.0214190093708166,3.0757377778891155,0.17
species_Dichelostemma volubile,0.9839628968884327,0.030789825970548863,3.0296046356671957,0.59
species_Erodium cicutarium,1.323053591981703,0.022757697456492636,3.010965336504545,0.1
species_Lilium pardalinum,1.3998471763158828,0.020080321285140562,2.8109381050519735,0.13
species_Viola purpurea,0.9508251585577281,0.029451137884872823,2.8002882849089716,0.61
species_Papilio eurymedon,0.9871372858251882,0.02744310575635877,2.7090112930945596,0.46
species_Leuconotopicus villosus,1.2638819948959383,0.0214190093708166,2.707110029228248,0.16
species_Achillea millefolium,0.7658754197422839,0.03480589022757698,2.6656975787549375,0.87
species_Abies concolor,0.7805824167497275,0.03413654618473896,2.664638772037222,0.88
species_Rubus parviflorus,0.7492122197458287,0.03547523427041499,2.6578479013740908,0.94
species_Pentagramma triangularis,1.0328082087801378,0.025435073627844713,2.626955283376522,0.46
species_Bombus vosnesenskii,0.9910243383171238,0.02610441767068273,2.5870113249242186,0.55
species_Limenitis lorquini,1.1100542520961036,0.022757697456492636,2.526227882949633,0.36
species_Ceanothus cuneatus,1.1032231490062816,0.022757697456492636,2.510681865208405,0.31
species_Asclepias fascicularis,1.2455333143598013,0.020080321285140562,2.501070912369079,0.22
species_Erythranthe bicolor,1.284957758203683,0.019410977242302542,2.4942285801811783,0.24
species_Callipepla californica,1.3007684187557869,0.018741633199464525,2.437852458176843,0.17
species_Adenocaulon bicolor,1.28380187416332,0.018741633199464525,2.4060543826354053,0.24
species_Brodiaea elegans,1.1027989955464559,0.0214190093708166,2.362086201973667,0.35
species_Iris macrosiphon,1.294222343921139,0.018072289156626505,2.338956043230974,0.28
species_Eschscholzia californica,1.2040155372144745,0.019410977242302542,2.3371118192248836,0.24
species_Sarcodes sanguinea,0.39155230294003157,0.059571619812583666,2.3325404927485147,1.0
species_Turdus migratorius,0.706881332901144,0.03279785809906292,2.3184193649368177,0.92
species_Penstemon laetus,0.9297053874608425,0.023427041499330656,2.1780246694196443,0.61
species_Celastrina ladon,0.9775337304273273,0.02208835341365462,2.159211051144699,0.35
species_Dipterostemon capitatus,0.714950196265287,0.029451137884872823,2.1056096811025853,0.97
species_Triteleia ixioides,0.5840254084957034,0.03547523427041499,2.071843818625989,1.0
species_Nymphalis californica,0.8787929495760821,0.023427041499330656,2.058751889903807,0.61
species_Pterospora andromedea,0.5210933067838075,0.039491298527443104,2.0578651338851834,1.0
species_Pituophis catenifer,1.0936090039169022,0.018741633199464525,2.0496018815042345,0.37
species_Chlosyne palla,1.2205457633001142,0.01673360107095047,2.0424125891902847,0.27
