species,cramer_v,odds_ratio,co_occurrence_ratio,p_value,chi2_statistic,adjusted_p_value,preference_index,relative_risk,interpretation,cooccurrence_zscore,relative_strength,co_occurrence_ratio_percentile,cramer_v_percentile,odds_ratio_percentile,rank
species_Acer macrophyllum,0.009626624356287632,0.9198105284375315,0.4180790960451977,0.6550315723411889,0.1996152650546893,0.7227934591351051,-0.033353361186021516,inf,Not a significant association,,,,,,
species_Adelinia grande,0.12445213543548571,3.7978165522501905,0.7362637362637363,7.650935291811808e-09,33.36187146713064,5.440665096399508e-08,0.5316670139423644,inf,"Very strong association with VCM (z-score: 1.4, ranked #5 of 37 significant species)
Co-occurrence ratio: 73.6% (higher than 89.2% of significant species)
Effect size (Cramer's V): 0.124 (stronger than 78.4% of significant species)
Odds ratio: 3.8 (higher than 89.2% of significant species)
p=5.4e-08",1.4209998533436157,strong,0.8918918918918919,0.7837837837837838,0.8918918918918919,5.0
species_Adenocaulon bicolor,0.08136093525774757,0.35355339105339106,0.22077922077922077,0.00015932920881714263,14.258622247077152,0.0004855747316331966,-0.38371109517028723,inf,"Below average association with VCM (z-score: -0.6, ranked #26 of 37 significant species)
Co-occurrence ratio: 22.1% (higher than 32.4% of significant species)
Effect size (Cramer's V): 0.081 (stronger than 45.9% of significant species)
Odds ratio: 0.4 (higher than 35.1% of significant species)
p=4.9e-04",-0.6146609990555555,weak,0.32432432432432434,0.4594594594594595,0.35135135135135137,26.0
species_Aesculus californica,0.16094422319641036,18.039695945945947,0.9298245614035088,8.042953273576424e-14,55.79515457955748,1.0294980190177822e-12,0.8753850826571788,inf,"Exceptionally strong association with VCM (z-score: 2.2, ranked #2 of 37 significant species)
Co-occurrence ratio: 93.0% (higher than 97.3% of significant species)
Effect size (Cramer's V): 0.161 (stronger than 89.2% of significant species)
Odds ratio: 18.0 (higher than 97.3% of significant species)
p=1.0e-12",2.1853762457649553,very_strong,0.972972972972973,0.8918918918918919,0.972972972972973,2.0
species_Aquilegia formosa,0.07368199826217701,0.5199777530589544,0.29577464788732394,0.0006269705911193209,11.694145413472661,0.0015433122242937132,-0.25053702263042393,inf,"Below average association with VCM (z-score: -0.3, ranked #16 of 37 significant species)
Co-occurrence ratio: 29.6% (higher than 59.5% of significant species)
Effect size (Cramer's V): 0.074 (stronger than 32.4% of significant species)
Odds ratio: 0.5 (higher than 59.5% of significant species)
p=1.5e-03",-0.31850223872998557,weak,0.5945945945945946,0.32432432432432434,0.5945945945945946,16.0
species_Arctostaphylos viscida,0.048380252297226915,1.4678166278166278,0.5253164556962026,0.024743374053929124,5.041757541787533,0.04383766447835809,0.15707472841683456,inf,"Above average association with VCM (z-score: 0.6, ranked #11 of 37 significant species)
Co-occurrence ratio: 52.5% (higher than 73.0% of significant species)
Effect size (Cramer's V): 0.048 (stronger than 5.4% of significant species)
Odds ratio: 1.5 (higher than 73.0% of significant species)
p=4.4e-02",0.5879639268080261,average,0.7297297297297297,0.05405405405405406,0.7297297297297297,11.0
species_Ariolimax buttoni,0.00434399332139632,1.0770787343635027,0.45454545454545453,0.8402216527575409,0.04064657876102739,0.8815440291226658,0.03140223338079891,inf,Not a significant association,,,,,,
species_Asarum hartwegii,0.017175856146492415,0.8315696649029982,0.3942307692307692,0.42536264888634945,0.6354516140222128,0.504133509791229,-0.07570232735113197,inf,Not a significant association,,,,,,
species_Asclepias cordifolia,0.02095570699328362,1.2006422018348624,0.4791666666666667,0.33076227337745434,0.945911126137319,0.44178211724264155,0.07512366034624901,inf,Not a significant association,,,,,,
species_Asclepias speciosa,0.02093083301970433,0.7308825810454475,0.36363636363636365,0.3313365879319812,0.9436669065158971,0.44178211724264155,-0.13003072772240123,inf,Not a significant association,,,,,,
