species,cramer_v,odds_ratio,co_occurrence_ratio,p_value,chi2_statistic,adjusted_p_value,preference_index,relative_risk,interpretation,cooccurrence_zscore,relative_strength,co_occurrence_ratio_percentile,cramer_v_percentile,odds_ratio_percentile,rank
species_Adelinia grande,0.12445213543548571,3.7978165522501905,0.7362637362637363,7.650935291811808e-09,33.36187146713064,5.440665096399508e-08,0.5316670139423644,inf,"Very strong association with VCM (z-score: 1.4, ranked #5 of 37 significant species)
Co-occurrence ratio: 73.6% (higher than 89.2% of significant species)
Effect size (Cramer's V): 0.124 (stronger than 78.4% of significant species)
Odds ratio: 3.8 (higher than 89.2% of significant species)
p=5.4e-08",1.4209998533436157,strong,0.8918918918918919,0.7837837837837838,0.8918918918918919,5.0
species_Adenocaulon bicolor,0.08136093525774757,0.35355339105339106,0.22077922077922077,0.00015932920881714263,14.258622247077152,0.0004855747316331966,-0.38371109517028723,inf,"Below average association with VCM (z-score: -0.6, ranked #26 of 37 significant species)
Co-occurrence ratio: 22.1% (higher than 32.4% of significant species)
Effect size (Cramer's V): 0.081 (stronger than 45.9% of significant species)
Odds ratio: 0.4 (higher than 35.1% of significant species)
p=4.9e-04",-0.6146609990555555,weak,0.32432432432432434,0.4594594594594595,0.35135135135135137,26.0
species_Aesculus californica,0.16094422319641036,18.039695945945947,0.9298245614035088,8.042953273576424e-14,55.79515457955748,1.0294980190177822e-12,0.8753850826571788,inf,"Exceptionally strong association with VCM (z-score: 2.2, ranked #2 of 37 significant species)
Co-occurrence ratio: 93.0% (higher than 97.3% of significant species)
Effect size (Cramer's V): 0.161 (stronger than 89.2% of significant species)
Odds ratio: 18.0 (higher than 97.3% of significant species)
p=1.0e-12",2.1853762457649553,very_strong,0.972972972972973,0.8918918918918919,0.972972972972973,2.0
species_Aquilegia formosa,0.07368199826217701,0.5199777530589544,0.29577464788732394,0.0006269705911193209,11.694145413472661,0.0015433122242937132,-0.25053702263042393,inf,"Below average association with VCM (z-score: -0.3, ranked #16 of 37 significant species)
Co-occurrence ratio: 29.6% (higher than 59.5% of significant species)
Effect size (Cramer's V): 0.074 (stronger than 32.4% of significant species)
Odds ratio: 0.5 (higher than 59.5% of significant species)
p=1.5e-03",-0.31850223872998557,weak,0.5945945945945946,0.32432432432432434,0.5945945945945946,16.0
species_Arctostaphylos viscida,0.048380252297226915,1.4678166278166278,0.5253164556962026,0.024743374053929124,5.041757541787533,0.04383766447835809,0.15707472841683456,inf,"Above average association with VCM (z-score: 0.6, ranked #11 of 37 significant species)
Co-occurrence ratio: 52.5% (higher than 73.0% of significant species)
Effect size (Cramer's V): 0.048 (stronger than 5.4% of significant species)
Odds ratio: 1.5 (higher than 73.0% of significant species)
p=4.4e-02",0.5879639268080261,average,0.7297297297297297,0.05405405405405406,0.7297297297297297,11.0
species_Calochortus albus,0.20488868918664366,100.41887226697354,0.9863013698630136,1.9226173913753897e-21,90.4235736565618,1.2304751304802494e-19,0.9756744853132163,inf,"Exceptionally strong association with VCM (z-score: 2.4, ranked #1 of 37 significant species)
Co-occurrence ratio: 98.6% (higher than 100.0% of significant species)
Effect size (Cramer's V): 0.205 (stronger than 100.0% of significant species)
Odds ratio: 100.4 (higher than 100.0% of significant species)
p=1.2e-19",2.4084045319616796,very_strong,1.0,1.0,1.0,1.0
species_Chlorogalum pomeridianum,0.0522236870547861,1.7822543542556688,0.575,0.015360572449106304,5.874633256590285,0.030721144898212607,0.24530090684253908,inf,"Above average association with VCM (z-score: 0.8, ranked #9 of 37 significant species)
Co-occurrence ratio: 57.5% (higher than 78.4% of significant species)
Effect size (Cramer's V): 0.052 (stronger than 16.2% of significant species)
Odds ratio: 1.8 (higher than 75.7% of significant species)
p=3.1e-02",0.7841654481138941,average,0.7837837837837838,0.16216216216216217,0.7567567567567568,9.0
species_Collomia grandiflora,0.10450453344979631,0.3107647983237297,0.20192307692307693,1.2334862541771756e-06,23.524259439899367,6.072547712872249e-06,-0.41719512968482464,inf,"Below average association with VCM (z-score: -0.7, ranked #31 of 37 significant species)
Co-occurrence ratio: 20.2% (higher than 18.9% of significant species)
Effect size (Cramer's V): 0.105 (stronger than 67.6% of significant species)
Odds ratio: 0.3 (higher than 18.9% of significant species)
p=6.1e-06",-0.6891243684141491,weak,0.1891891891891892,0.6756756756756757,0.1891891891891892,31.0
species_Cornus nuttallii,0.1413272996855129,0.3516648751023751,0.2314410480349345,5.4107962170050486e-11,43.022715740802965,5.771515964805385e-10,-0.36477822137901983,inf,"Below average association with VCM (z-score: -0.6, ranked #22 of 37 significant species)
Co-occurrence ratio: 23.1% (higher than 43.2% of significant species)
Effect size (Cramer's V): 0.141 (stronger than 86.5% of significant species)
Odds ratio: 0.4 (higher than 32.4% of significant species)
p=5.8e-10",-0.5725571846682329,weak,0.43243243243243246,0.8648648648648649,0.32432432432432434,22.0
species_Corvus corax,0.06636395785719323,0.3468548387096774,0.21568627450980393,0.0020697884981535552,9.486592739923221,0.004567809099373364,-0.39275495853741327,inf,"Below average association with VCM (z-score: -0.6, ranked #27 of 37 significant species)
Co-occurrence ratio: 21.6% (higher than 29.7% of significant species)
Effect size (Cramer's V): 0.066 (stronger than 24.3% of significant species)
Odds ratio: 0.3 (higher than 29.7% of significant species)
p=4.6e-03",-0.6347731673799126,weak,0.2972972972972973,0.24324324324324326,0.2972972972972973,27.0
