Species,Total_Occurrences,VCM_Occurrences,Non_VCM_Occurrences,Percent_in_VCM,VCM_Frequency,Non_VCM_Frequency,Frequency_Ratio,p_value,Preference,adjusted_p_value,significant,VCM_Preference_Strength,abs_preference
species_Calochortus albus,73,72,1,98.63013698630137,7.65143464399575,0.08244023083264633,92.81190223166845,5.287999076364266e-25,VCM,3.38431940887313e-23,True,54.94397171239236,54.94397171239236
species_Aesculus californica,57,53,4,92.98245614035088,5.63230605738576,0.3297609233305853,17.07996811902232,3.6524770619212095e-15,VCM,5.843963299073935e-14,True,49.29629086644187,49.29629086644187
species_Heteromeles arbutifolia,75,68,7,90.66666666666666,7.226354941551541,0.5770816158285244,12.522240777288598,2.521006980089746e-17,VCM,8.067222336287188e-16,True,46.98050139275765,46.98050139275765
species_Toxicodendron diversilobum,117,91,26,77.77777777777779,9.670563230605739,2.1434460016488046,4.511689691817216,7.489445852009853e-14,VCM,9.586490690572613e-13,True,34.09161250386878,34.09161250386878
species_Adelinia grande,91,67,24,73.62637362637363,7.1200850159404885,1.9785655399835118,3.598609635139922,8.561953004082079e-09,VCM,6.088499914013923e-08,True,29.94020835246463,29.94020835246463
species_Elgaria multicarinata,90,65,25,72.22222222222221,6.9075451647183845,2.061005770816158,3.3515409139213603,5.184678160160262e-08,VCM,3.2332858632123076e-07,True,28.53605694831321,28.53605694831321
species_Lonicera hispidula,73,52,21,71.23287671232876,5.526036131774708,1.7312448474855728,3.191943727544153,2.4991196068929376e-06,VCM,1.1424546774367715e-05,True,27.546711438419756,27.546711438419756
species_Silene laciniata,165,99,66,60.0,10.520722635494154,5.441055234954658,1.9335812964930923,2.8232374427300312e-05,VCM,0.00010038177574151222,True,16.313834726090995,16.313834726090995
species_Chlorogalum pomeridianum,80,46,34,57.49999999999999,4.888416578108395,2.8029678483099754,1.7440145027192597,0.017370869616494825,VCM,0.03368895925623239,True,13.813834726090988,13.813834726090988
species_Pseudacris regilla,173,99,74,57.22543352601156,10.520722635494154,6.100577081615829,1.724545480656001,0.00039639359774721017,VCM,0.001014767610232858,True,13.539268252102552,13.539268252102552
species_Erythranthe cardinalis,112,37,75,33.035714285714285,3.9319872476089266,6.1830173124484755,0.6359334041799504,0.028001529233165467,non-VCM,0.04978049641451639,True,-10.65045098819472,10.65045098819472
species_Turdus migratorius,92,29,63,31.521739130434785,3.0818278427205104,5.193734542456719,0.5933741544793618,0.020437417939449858,non-VCM,0.0384704337683762,True,-12.16442614347422,12.16442614347422
species_Papilio eurymedon,89,28,61,31.46067415730337,2.975557917109458,5.028854080791426,0.5916970087629135,0.024287158311525663,non-VCM,0.04441080376964693,True,-12.225491116605635,12.225491116605635
species_Ribes roezlii,119,37,82,31.092436974789916,3.9319872476089266,6.7600989282769985,0.5816464062621498,0.0054763694690155955,non-VCM,0.01130605309732252,True,-12.593728299119089,12.593728299119089
species_Aquilegia formosa,142,42,100,29.577464788732392,4.463336875664187,8.244023083264633,0.5414027630180659,0.0006700594772159631,non-VCM,0.0016243468754621362,True,-14.108700485176612,14.108700485176612
species_Iris hartwegii,219,62,157,28.31050228310502,6.588735387885228,12.943116240725475,0.5090532500321516,3.133993180404467e-06,non-VCM,1.3371704236392393e-05,True,-15.375662990803985,15.375662990803985
species_Rhododendron occidentale,92,24,68,26.08695652173913,2.5504782146652496,5.605935696619951,0.4549603050571982,0.0006852713380855887,non-VCM,0.0016243468754621362,True,-17.599208752169876,17.599208752169876
species_Rubus parviflorus,111,28,83,25.225225225225223,2.975557917109458,6.842539159109645,0.43486165704262325,7.368177648432234e-05,non-VCM,0.0002357816847498315,True,-18.46094004868378,18.46094004868378
species_Ursus americanus,96,24,72,25.0,2.5504782146652496,5.935696619950536,0.4296847325540205,0.00018483038306594873,non-VCM,0.0004928810215091966,True,-18.686165273909005,18.686165273909005
species_Leuconotopicus albolarvatus,44,11,33,25.0,1.1689691817215728,2.720527617477329,0.42968473255402057,0.01426785655335144,non-VCM,0.02853571310670288,True,-18.686165273909005,18.686165273909005
species_Cornus nuttallii,229,53,176,23.144104803493452,5.63230605738576,14.509480626545754,0.3881810936141436,1.3201398061859256e-10,non-VCM,1.2069849656557034e-09,True,-20.542060470415553,20.542060470415553
species_Goodyera oblongifolia,110,25,85,22.727272727272727,2.6567481402763016,7.007419620774938,0.3791335875476652,7.1751004310018394e-06,non-VCM,2.8700401724007358e-05,True,-20.958892546636278,20.958892546636278
species_Viola purpurea,90,20,70,22.22222222222222,2.1253985122210417,5.7708161582852435,0.36830119933201766,2.689679901762617e-05,non-VCM,0.00010038177574151222,True,-21.463943051686783,21.463943051686783
species_Cryptoporus volvatus,81,18,63,22.22222222222222,1.9128586609989375,5.193734542456719,0.36830119933201766,7.147308395569191e-05,non-VCM,0.0002357816847498315,True,-21.463943051686783,21.463943051686783
species_Adenocaulon bicolor,77,17,60,22.07792207792208,1.8065887353878853,4.9464138499587795,0.36523202267091753,0.000118211191957706,non-VCM,0.000355148173304909,True,-21.608243195986926,21.608243195986926
