Species,Total_Occurrences,VCM_Occurrences,Non_VCM_Occurrences,Percent_in_VCM,VCM_Frequency,Non_VCM_Frequency,Frequency_Ratio,p_value,Preference,adjusted_p_value,significant,VCM_Preference_Strength,abs_preference
species_Acer macrophyllum,177,74,103,41.80790960451977,7.863974495217853,8.491343775762573,0.9261166080290539,0.6496966450706319,non-VCM,0.7169066428365592,False,-1.8782556693892332,1.8782556693892332
species_Adelinia grande,91,67,24,73.62637362637363,7.1200850159404885,1.9785655399835118,3.598609635139922,8.561953004082079e-09,VCM,6.088499914013923e-08,True,29.94020835246463,29.94020835246463
species_Adenocaulon bicolor,77,17,60,22.07792207792208,1.8065887353878853,4.9464138499587795,0.36523202267091753,0.000118211191957706,non-VCM,0.000355148173304909,True,-21.608243195986926,21.608243195986926
species_Aesculus californica,57,53,4,92.98245614035088,5.63230605738576,0.3297609233305853,17.07996811902232,3.6524770619212095e-15,VCM,5.843963299073935e-14,True,49.29629086644187,49.29629086644187
species_Aquilegia formosa,142,42,100,29.577464788732392,4.463336875664187,8.244023083264633,0.5414027630180659,0.0006700594772159631,non-VCM,0.0016243468754621362,True,-14.108700485176612,14.108700485176612
species_Arctostaphylos viscida,158,83,75,52.53164556962025,8.820403825717323,6.1830173124484755,1.426553312079348,0.03003535524469121,VCM,0.05195304690973615,False,8.845480295711248,8.845480295711248
species_Ariolimax buttoni,77,35,42,45.45454545454545,3.7194473963868226,3.4624896949711457,1.0742118313850515,0.8184788980255909,VCM,0.8448814431231907,False,1.7683801806364485,1.7683801806364485
species_Asarum hartwegii,104,41,63,39.42307692307692,4.357066950053135,5.193734542456719,0.8389082873673736,0.4293035647736841,non-VCM,0.5088042249169589,False,-4.263088350832085,4.263088350832085
species_Asclepias cordifolia,144,69,75,47.91666666666667,7.332624867162593,6.1830173124484755,1.1859298618490965,0.31431145826690565,VCM,0.427998581469829,False,4.230501392757667,4.230501392757667
species_Asclepias speciosa,55,20,35,36.36363636363637,2.1253985122210417,2.8854080791426218,0.7366023986640353,0.3413904265233526,non-VCM,0.4378047238329367,False,-7.322528910272638,7.322528910272638
species_Calochortus albus,73,72,1,98.63013698630137,7.65143464399575,0.08244023083264633,92.81190223166845,5.287999076364266e-25,VCM,3.38431940887313e-23,True,54.94397171239236,54.94397171239236
species_Ceanothus integerrimus,142,50,92,35.2112676056338,5.313496280552603,7.5845012366034625,0.7005729335119899,0.04251390166353982,non-VCM,0.0680222426616637,False,-8.474897668275204,8.474897668275204
species_Chamaebatia foliolosa,337,139,198,41.246290801186944,14.771519659936239,16.323165704863975,0.9049420882577099,0.37993476123449793,non-VCM,0.4676120138270744,False,-2.4398744727220603,2.4398744727220603
species_Chlorogalum pomeridianum,80,46,34,57.49999999999999,4.888416578108395,2.8029678483099754,1.7440145027192597,0.017370869616494825,VCM,0.03368895925623239,True,13.813834726090988,13.813834726090988
species_Collomia grandiflora,104,21,83,20.192307692307693,2.2316684378320937,6.842539159109645,0.32614624278196747,7.841590405923591e-07,non-VCM,3.860475276762383e-06,True,-23.49385758160131,23.49385758160131
species_Cornus nuttallii,229,53,176,23.144104803493452,5.63230605738576,14.509480626545754,0.3881810936141436,1.3201398061859256e-10,non-VCM,1.2069849656557034e-09,True,-20.542060470415553,20.542060470415553
species_Corvus corax,51,11,40,21.568627450980394,1.1689691817215728,3.297609233305853,0.354489904357067,0.0016163154147940599,non-VCM,0.0035670409154075805,True,-22.11753782292861,22.11753782292861
species_Cryptoporus volvatus,81,18,63,22.22222222222222,1.9128586609989375,5.193734542456719,0.36830119933201766,7.147308395569191e-05,non-VCM,0.0002357816847498315,True,-21.463943051686783,21.463943051686783
species_Cyanocitta stelleri,90,37,53,41.11111111111111,3.9319872476089266,4.369332234130256,0.8999057606320052,0.6714360321046864,non-VCM,0.7283373907576259,False,-2.5750541627978976,2.5750541627978976
species_Darmera peltata,119,41,78,34.45378151260504,4.357066950053135,6.430338004946414,0.6775797705659555,0.04242847987842242,non-VCM,0.0680222426616637,False,-9.232383761303964,9.232383761303964
species_Dicentra formosa,131,47,84,35.87786259541985,4.994686503719448,6.924979389942291,0.7212565153585346,0.07806989268711896,non-VCM,0.11758938422028654,False,-7.808302678489156,7.808302678489156
species_Diplacus torreyi,108,14,94,12.962962962962962,1.487778958554729,7.749381698268755,0.19198679539647726,8.020798791934628e-12,non-VCM,8.555518711396937e-11,True,-30.723202310946043,30.723202310946043
species_Dryocopus pileatus,58,17,41,29.310344827586203,1.8065887353878853,3.3800494641384993,0.534485886835489,0.03335462910987219,non-VCM,0.0561762174482058,False,-14.375820446322802,14.375820446322802
species_Elgaria multicarinata,90,65,25,72.22222222222221,6.9075451647183845,2.061005770816158,3.3515409139213603,5.184678160160262e-08,VCM,3.2332858632123076e-07,True,28.53605694831321,28.53605694831321
species_Ensatina eschscholtzii,90,35,55,38.88888888888889,3.7194473963868226,4.534212695795548,0.8203072166940392,0.39594430042916584,non-VCM,0.47812141938616254,False,-4.797276385020112,4.797276385020112
species_Erythranthe cardinalis,112,37,75,33.035714285714285,3.9319872476089266,6.1830173124484755,0.6359334041799504,0.028001529233165467,non-VCM,0.04978049641451639,True,-10.65045098819472,10.65045098819472
species_Euphagus cyanocephalus,35,6,29,17.142857142857142,0.6376195536663124,2.390766694146744,0.2667008684818058,0.0017120484035521777,non-VCM,0.003652369927577979,True,-26.543308131051862,26.543308131051862
species_Goodyera oblongifolia,110,25,85,22.727272727272727,2.6567481402763016,7.007419620774938,0.3791335875476652,7.1751004310018394e-06,non-VCM,2.8700401724007358e-05,True,-20.958892546636278,20.958892546636278
species_Heteromeles arbutifolia,75,68,7,90.66666666666666,7.226354941551541,0.5770816158285244,12.522240777288598,2.521006980089746e-17,VCM,8.067222336287188e-16,True,46.98050139275765,46.98050139275765
species_Hippodamia convergens,101,41,60,40.5940594059406,4.357066950053135,4.9464138499587795,0.8808537017357423,0.5489737984359934,non-VCM,0.6273986267839924,False,-3.0921058679684066,3.0921058679684066
species_Iris hartwegii,219,62,157,28.31050228310502,6.588735387885228,12.943116240725475,0.5090532500321516,3.133993180404467e-06,non-VCM,1.3371704236392393e-05,True,-15.375662990803985,15.375662990803985
species_Junco hyemalis,86,33,53,38.372093023255815,3.5069075451647183,4.369332234130256,0.8026186513744912,0.3304561463416439,non-VCM,0.4378047238329367,False,-5.31407225065319,5.31407225065319
species_Lathyrus latifolius,113,55,58,48.67256637168141,5.844845908607864,4.781533388293488,1.22237898054161,0.2977421015239997,VCM,0.414249880381217,False,4.986401097772408,4.986401097772408
species_Leuconotopicus albolarvatus,44,11,33,25.0,1.1689691817215728,2.720527617477329,0.42968473255402057,0.01426785655335144,non-VCM,0.02853571310670288,True,-18.686165273909005,18.686165273909005
species_Limenitis bredowii,177,81,96,45.76271186440678,8.607863974495219,7.914262159934047,1.0876394792773647,0.5962501897292453,VCM,0.6694738972398543,False,2.0765465904977773,2.0765465904977773
species_Lonicera hispidula,73,52,21,71.23287671232876,5.526036131774708,1.7312448474855728,3.191943727544153,2.4991196068929376e-06,VCM,1.1424546774367715e-05,True,27.546711438419756,27.546711438419756
