Species,Cluster,IndVal,Specificity,Fidelity,pvalue,pvalue_adj,indval_zscore,relative_strength,interpretation,indval_percentile,specificity_percentile,fidelity_percentile,rank
species_Acer macrophyllum,0,4.408530480639772,0.5191793663122373,0.08491343775762572,0.6376,0.7035586206896551,0.0783462535017979,above_average,Not a significant indicator species,,,,
species_Adelinia grande,1,5.571772464787439,0.7825429685619373,0.07120085015940489,0.0002,0.00064,0.6627514987891324,above_average,"Above average indicator (z-score: 0.3, ranked #11 of 38 significant species)
IndVal: 5.6 (stronger than 73.7% of significant species)
Specificity: 78.3% (better than 73.7% of significant species)
Fidelity: 7.1% (better than 68.4% of significant species)
p=2.0e-04",0.7368421052631579,0.7368421052631579,0.6842105263157895,11.0
species_Adenocaulon bicolor,0,3.6231305505724207,0.732476226307391,0.0494641384995878,0.0004,0.0012190476190476192,-0.3162335888995916,below_average,"Below average indicator (z-score: -0.6, ranked #28 of 38 significant species)
IndVal: 3.6 (stronger than 28.9% of significant species)
Specificity: 73.2% (better than 52.6% of significant species)
Fidelity: 4.9% (better than 23.7% of significant species)
p=4.0e-04",0.2894736842105263,0.5263157894736842,0.23684210526315788,28.0
species_Aesculus californica,1,5.320784155338826,0.9446901679573274,0.0563230605738576,0.0002,0.00064,0.5366565963127187,above_average,"Above average indicator (z-score: 0.2, ranked #13 of 38 significant species)
IndVal: 5.3 (stronger than 68.4% of significant species)
Specificity: 94.5% (better than 97.4% of significant species)
Fidelity: 5.6% (better than 39.5% of significant species)
p=2.0e-04",0.6842105263157895,0.9736842105263158,0.39473684210526316,13.0
species_Aquilegia formosa,0,5.348389973768335,0.648759703818099,0.08244023083264633,0.0008,0.0018962962962962963,0.5505255808494796,above_average,"Above average indicator (z-score: 0.2, ranked #12 of 38 significant species)
IndVal: 5.3 (stronger than 71.1% of significant species)
Specificity: 64.9% (better than 21.1% of significant species)
Fidelity: 8.2% (better than 81.6% of significant species)
p=8.0e-04",0.7105263157894737,0.21052631578947367,0.8157894736842105,12.0
species_Arctostaphylos viscida,1,5.1854522333457576,0.5878928375395611,0.08820403825717323,0.0152,0.02947878787878788,0.46866671446065017,above_average,"Above average indicator (z-score: 0.1, ranked #17 of 38 significant species)
IndVal: 5.2 (stronger than 57.9% of significant species)
Specificity: 58.8% (better than 2.6% of significant species)
Fidelity: 8.8% (better than 84.2% of significant species)
p=1.5e-02",0.5789473684210527,0.02631578947368421,0.8421052631578947,17.0
species_Ariolimax buttoni,1,1.9262615027825194,0.5178891640338145,0.03719447396386823,0.815,0.8412903225806451,-1.1687296177639157,weak,Not a significant indicator species,,,,
species_Asarum hartwegii,0,2.8243575702691506,0.5438009099581713,0.05193734542456719,0.4296,0.5091555555555556,-0.7175319652000892,below_average,Not a significant indicator species,,,,
species_Asclepias cordifolia,1,3.978160025843365,0.5425287803360299,0.07332624867162593,0.2938,0.400068085106383,-0.13786907798316697,below_average,Not a significant indicator species,,,,
species_Asclepias speciosa,0,1.6615248725686207,0.5758370486930676,0.028854080791426217,0.3344,0.4367673469387755,-1.3017315876249484,weak,Not a significant indicator species,,,,
