Species,IndVal,Specificity,Fidelity,P-value,Z-score
Cornus nuttallii,10.452152599752079,0.7203671081533677,0.14509480626545754,2.0e-04,3.1146228967762473
Viola lobata,9.270512286020443,0.8329726965142812,0.11129431162407255,2.0e-04,2.5209744497648323
Iris hartwegii,8.576977810723186,0.6626671391342182,0.12943116240725475,2.0e-04,2.1725472173620295
Toxicodendron diversilobum,7.916008135647674,0.8185674346862045,0.09670563230605739,2.0e-04,1.8404803298579426
Calochortus albus,7.569873195373798,0.9893403717842699,0.0765143464399575,2.0e-04,1.6665843757659067
Silene laciniata,6.934415807021053,0.6591197246875566,0.10520722635494155,2.0e-04,1.3473346960167338
Heteromeles arbutifolia,6.691949804076942,0.9260477596524122,0.07226354941551541,2.0e-04,1.225521345178801
Pseudacris regilla,6.659262913059632,0.6329663031504156,0.10520722635494155,2.0e-04,1.2090996626544654
Diplacus torreyi,6.501231161450211,0.838935467961607,0.07749381698268755,2.0e-04,1.1297055332978285
Maianthemum racemosum,5.598676921338651,0.7462851764377784,0.07502061005770816,2.0e-04,0.6762681236568757
Adelinia grande,5.571772464787439,0.7825429685619373,0.07120085015940489,2.0e-04,0.6627514987891324
Aquilegia formosa,5.348389973768335,0.648759703818099,0.08244023083264633,8.0e-04,0.5505255808494796
Aesculus californica,5.320784155338826,0.9446901679573274,0.0563230605738576,2.0e-04,0.5366565963127187
Elgaria multicarinata,5.320166049743294,0.7701963465859138,0.06907545164718384,2.0e-04,0.5363460640613962
Sarcodes sanguinea,5.255754977983788,0.7870655294190537,0.06677658697444352,2.0e-04,0.50398635842507
