Species,Cluster,IndVal,Specificity,Fidelity,pvalue,pvalue_adj,indval_zscore,relative_strength,cutoff
species_Aesculus californica,1,5.735942651353362,0.9249339568186011,0.062014618547281866,0.001,0.001195219123505976,3.704254999739313,strong,0.1
species_Odocoileus hemionus,1,4.769831814245784,0.5816803254252936,0.08200091365920512,0.001,0.001195219123505976,2.812982316257858,strong,0.1
species_Calochortus albus,1,4.39770707668415,0.9212039034317325,0.04773869346733668,0.001,0.001195219123505976,2.469683596589881,strong,0.1
species_Melanerpes formicivorus,1,4.383417992578922,0.8325641636230161,0.052649611694837825,0.001,0.001195219123505976,2.4565013923894936,strong,0.1
species_Dipterostemon capitatus,1,4.251588328078918,0.8718245292894381,0.048766560073092734,0.001,0.001195219123505976,2.3348836914710893,strong,0.1
species_Heteromeles arbutifolia,1,4.194425256334679,0.9045908262183854,0.046368204659661946,0.001,0.001195219123505976,2.282148661086726,strong,0.1
species_Toxicodendron diversilobum,1,4.172060655987315,0.8436619654463032,0.04945180447693011,0.001,0.001195219123505976,2.2615164969488495,strong,0.1
species_Quercus wislizeni,1,4.079007787925324,0.9652916808398415,0.04225673823663773,0.001,0.001195219123505976,2.1756718130494788,strong,0.1
species_Sceloporus occidentalis,1,3.868485823550396,0.6136315556341897,0.06304248515303791,0.001,0.001195219123505976,1.9814575791195719,strong,0.1
species_Quercus douglasii,1,3.863375532710984,0.9776796579311381,0.03951576062128826,0.001,0.001195219123505976,1.9767431483784268,strong,0.1
species_Aesculus californica,1,5.484212634143655,0.9442096209869015,0.05808257522743177,0.001,0.0011764705882352942,3.405854590417462,strong,0.2
species_Odocoileus hemionus,1,5.265411385673774,0.6096054408668375,0.0863740877736679,0.001,0.0011764705882352942,3.206955474856026,strong,0.2
species_Melanerpes formicivorus,1,4.362794975838401,0.8540320575990515,0.05108467459762071,0.001,0.0011764705882352942,2.386440935460207,strong,0.2
species_Calochortus albus,1,4.2706094589084325,0.9451085490588729,0.04518644406677996,0.001,0.0011764705882352942,2.3026406010783464,strong,0.2
species_Heteromeles arbutifolia,1,4.047460016115391,0.9243548525388644,0.04378686394081775,0.001,0.0011764705882352942,2.0997888023799813,strong,0.2
species_Dipterostemon capitatus,1,3.961182639185911,0.8766307508800147,0.04518644406677996,0.001,0.0011764705882352942,2.021359204357846,strong,0.2
species_Toxicodendron diversilobum,1,3.9569475431338073,0.8512117478272575,0.04648605418374488,0.001,0.0011764705882352942,2.017509332088049,strong,0.2
species_Sceloporus occidentalis,1,3.7406468750346744,0.610402784518301,0.061281615515345396,0.001,0.0011764705882352942,1.8208833444342927,strong,0.2
species_Quercus wislizeni,1,3.690980827313953,0.9716021372531967,0.03798860341897431,0.001,0.0011764705882352942,1.775734913910399,strong,0.2
species_Dichelostemma volubile,1,3.5452121026856878,0.9235092881032534,0.03838848345496351,0.001,0.0011764705882352942,1.6432252933856717,strong,0.2
species_Odocoileus hemionus,1,5.4785743803728995,0.6233246561055181,0.08789279112754159,0.001,0.0011764705882352942,3.3435536758522724,strong,0.3
species_Aesculus californica,1,5.270775241679192,0.9536753865379407,0.05526802218114603,0.001,0.0011764705882352942,3.1572125588501043,strong,0.3
species_Melanerpes formicivorus,1,4.358813598609167,0.8701543014197637,0.05009242144177449,0.001,0.0011764705882352942,2.3394230708807453,strong,0.3
species_Calochortus albus,1,4.115685743845954,0.9556163036140177,0.04306839186691312,0.001,0.0011764705882352942,2.1214013970869163,strong,0.3
species_Heteromeles arbutifolia,1,3.9527486320496035,0.937910969271419,0.04214417744916821,0.001,0.0011764705882352942,1.9752897067107982,strong,0.3
species_Toxicodendron diversilobum,1,3.9104716960175825,0.8634959949165356,0.04528650646950092,0.001,0.0011764705882352942,1.9373784259751838,strong,0.3
species_Dipterostemon capitatus,1,3.854332745828127,0.8854327029694339,0.04353049907578558,0.001,0.0011764705882352942,1.8870365682014059,strong,0.3
species_Sciurus griseus,1,3.633388641258961,0.7604113171841772,0.0477818853974122,0.001,0.0011764705882352942,1.6889078776819155,strong,0.3
species_Sceloporus occidentalis,1,3.5995265553823055,0.6038275554920395,0.05961182994454713,0.001,0.0011764705882352942,1.6585425020314417,strong,0.3
species_Quercus wislizeni,1,3.4994554365924513,0.9784007189646079,0.03576709796672828,0.001,0.0011764705882352942,1.5688050557061997,strong,0.3
species_Odocoileus hemionus,1,5.615446401309166,0.6336022238352159,0.08862731521550977,0.001,0.001171875,3.430815742009759,strong,0.4
species_Aesculus californica,1,5.101734913324019,0.9631608690938841,0.05296866885926952,0.001,0.001171875,2.9738393129309975,strong,0.4
species_Melanerpes formicivorus,1,4.3663992957851985,0.8866322928559258,0.04924701402111823,0.001,0.001171875,2.3197152519813784,strong,0.4
species_Toxicodendron diversilobum,1,3.986497915729362,0.8857691715064817,0.04500605850787606,0.001,0.001171875,1.9817707439834782,strong,0.4
species_Calochortus albus,1,3.985711604483711,0.9654279219749432,0.04128440366972477,0.001,0.001171875,1.9810712741184155,strong,0.4
species_Heteromeles arbutifolia,1,3.8785438303244466,0.9514372699696105,0.040765102994633894,0.001,0.001171875,1.885739267937865,strong,0.4
species_Sciurus griseus,1,3.7448725215050196,0.7796082362787208,0.04803531244590618,0.001,0.001171875,1.766830816787261,strong,0.4
species_Dipterostemon capitatus,1,3.640740176506507,0.8818681760871315,0.04128440366972477,0.001,0.001171875,1.6741990024674032,strong,0.4
species_Sceloporus occidentalis,1,3.548214985263255,0.6028834697019361,0.05885407651029946,0.001,0.001171875,1.5918924306210032,strong,0.4
species_Calochortus monophyllus,1,3.3590190216765787,0.7095083322934405,0.04734291154578501,0.001,0.001171875,1.4235915499553666,strong,0.4
species_Odocoileus hemionus,1,6.018430826734262,0.6590234456069346,0.0913234706117553,0.001,0.0011450381679389313,3.71025852770663,strong,0.5
species_Aesculus californica,1,4.809377533243859,0.9684583905509575,0.04966013594562175,0.001,0.0011450381679389313,2.6529719373506553,strong,0.5
species_Melanerpes formicivorus,1,4.51072063705381,0.9216758425875471,0.048940423830467816,0.001,0.0011450381679389313,2.3918040193116625,strong,0.5
species_Sciurus griseus,1,4.145241808150995,0.8293799809748511,0.04998000799680128,0.001,0.0011450381679389313,2.072202007606776,strong,0.5
species_Toxicodendron diversilobum,1,4.0117940558756695,0.9104806654941062,0.04406237504998001,0.001,0.0011450381679389313,1.955505316275222,strong,0.5
species_Heteromeles arbutifolia,1,3.8791669098058335,0.9799794385277162,0.03958416633346661,0.001,0.0011450381679389313,1.839526224359425,strong,0.5
species_Calochortus albus,1,3.8663102052134812,0.9826871771584265,0.03934426229508197,0.001,0.0011450381679389313,1.8282833606785198,strong,0.5
species_Sceloporus occidentalis,1,3.5179220235799096,0.6042804245174007,0.05821671331467413,0.001,0.0011450381679389313,1.5236266886667322,strong,0.5
species_Dipterostemon capitatus,1,3.5058098735874643,0.8892525855823782,0.03942423030787685,0.001,0.0011450381679389313,1.5130349191919368,strong,0.5
species_Calochortus monophyllus,1,3.4693036059784585,0.7291368334917752,0.04758096761295482,0.001,0.0011450381679389313,1.4811111095346128,strong,0.5
species_Odocoileus hemionus,1,6.164613002193271,0.6735724279518532,0.09152116010654039,0.001,0.0011583011583011585,3.7999769507465007,strong,0.6
species_Aesculus californica,1,4.520994150757266,0.9730216073508792,0.046463450725066587,0.001,0.0011583011583011585,2.3762356914911273,strong,0.6
species_Melanerpes formicivorus,1,4.479763527790865,0.9460700600253333,0.04735128736312518,0.001,0.0011583011583011585,2.340520757331799,strong,0.6
