Species,Total_Occurrences,VCM_Occurrences,Non_VCM_Occurrences,Percent_in_VCM,VCM_Frequency,Non_VCM_Frequency,Frequency_Ratio,p_value,Preference,adjusted_p_value,significant,VCM_Preference_Strength,abs_preference
species_Aquilegia formosa,83,7,76,8.433734939759036,5.833333333333333,15.966386554621847,0.3653508771929825,0.005784902406913599,non-VCM,0.028924512034567994,True,-11.700493248160425,11.700493248160425
species_Arctostaphylos patula,63,6,57,9.523809523809524,5.0,11.974789915966387,0.41754385964912283,0.03959278220573414,non-VCM,0.14847293327150302,False,-10.610418664109938,10.610418664109938
species_Chamaebatia foliolosa,112,28,84,25.0,23.333333333333332,17.647058823529413,1.322222222222222,0.19596539315277658,VCM,0.3674351121614561,False,4.865771812080538,4.865771812080538
species_Leptosiphon ciliatus,81,6,75,7.4074074074074066,5.0,15.756302521008402,0.31733333333333336,0.003182402359107087,non-VCM,0.028924512034567994,True,-12.726820780512055,12.726820780512055
species_Leuconotopicus albolarvatus,59,14,45,23.728813559322035,11.666666666666666,9.453781512605042,1.2340740740740739,0.5153916646391326,VCM,0.6393862374045352,False,3.594585371402573,3.594585371402573
species_Lilium kelleyanum,93,8,85,8.60215053763441,6.666666666666667,17.857142857142858,0.37333333333333335,0.004079826265854991,non-VCM,0.028924512034567994,True,-11.532077650285052,11.532077650285052
species_Odocoileus hemionus,104,16,88,15.384615384615385,13.333333333333334,18.487394957983195,0.7212121212121212,0.27088681984610075,non-VCM,0.41440838778860867,False,-4.7496128033040765,4.7496128033040765
species_Penstemon newberryi,74,10,64,13.513513513513514,8.333333333333332,13.445378151260504,0.6197916666666665,0.19128168968932258,non-VCM,0.3674351121614561,False,-6.6207146744059475,6.6207146744059475
species_Pteridium aquilinum,83,10,73,12.048192771084338,8.333333333333332,15.336134453781513,0.5433789954337899,0.07436384575661636,non-VCM,0.1859096143915409,False,-8.086035416835124,8.086035416835124
species_Pterospora andromedea,80,18,62,22.5,15.0,13.025210084033615,1.1516129032258062,0.5781335566373851,VCM,0.6393862374045352,False,2.3657718120805384,2.3657718120805384
species_Ribes roezlii,96,20,76,20.833333333333336,16.666666666666664,15.966386554621847,1.043859649122807,0.8986326514804853,VCM,0.8986326514804853,False,0.6991051454138741,0.6991051454138741
species_Sarcodes sanguinea,159,26,133,16.352201257861633,21.666666666666668,27.941176470588236,0.7754385964912281,0.2762722585257391,non-VCM,0.41440838778860867,False,-3.782026930057828,3.782026930057828
species_Sceloporus graciosus,69,20,49,28.985507246376812,16.666666666666664,10.294117647058822,1.619047619047619,0.07193143103123806,VCM,0.1859096143915409,False,8.85127905845735,8.85127905845735
species_Tamiasciurus douglasii,54,8,46,14.814814814814813,6.666666666666667,9.663865546218489,0.6898550724637681,0.3981356230053944,non-VCM,0.5429122131891743,False,-5.3194133731046485,5.3194133731046485
species_Ursus americanus,89,20,69,22.47191011235955,16.666666666666664,14.495798319327733,1.14975845410628,0.5967604882442328,VCM,0.6393862374045352,False,2.337681924440087,2.337681924440087
