feature,importance
veg_class_binary,0.111889884
species_Veratrum californicum,0.04187638
species_Meleagris gallopavo,0.03465191
species_Toxicodendron diversilobum,0.025354741
species_Calochortus albus,0.025147997
species_Calochortus leichtlinii,0.024052132
species_Arbutus menziesii,0.018721223
bio1,0.018590603
species_Elgaria multicarinata,0.01639552
species_Lysimachia latifolia,0.01635024
species_Lathyrus latifolius,0.012579125
species_Umbellularia californica,0.011776865
species_Rhododendron occidentale,0.011197907
bio12,0.010645262
species_Heteromeles arbutifolia,0.010069367
species_Frangula californica,0.0077939737
species_Setophaga coronata,0.007216993
species_Canis latrans,0.0071725054
species_Leptosiphon ciliatus,0.0069757323
species_Populus tremuloides,0.0069512716
species_Adelinia grande,0.0065624267
species_Diplacus torreyi,0.0064594084
species_Viola lobata,0.006342596
species_Otospermophilus beecheyi,0.0062581543
species_Pteridium aquilinum,0.00611225
species_Sedum spathulifolium,0.006109731
species_Rubus armeniacus,0.0060556447
species_Quercus kelloggii,0.005861574
species_Ceanothus prostratus,0.005817429
species_Calochortus venustus,0.0057846857
species_Quercus chrysolepis,0.0055730515
species_Asarum hartwegii,0.005573005
species_Chamaenerion angustifolium,0.0055703074
species_Verbascum thapsus,0.0055396426
species_Quercus wislizeni,0.0054907147
species_Callospermophilus lateralis,0.0054149497
species_Tamiasciurus douglasii,0.005356449
species_Dudleya cymosa,0.0053506526
species_Trichodes ornatus,0.0053079654
species_Pseudacris regilla,0.0052995975
species_Ursus americanus,0.0052249376
species_Erythranthe bicolor,0.005150673
species_Sciurus griseus,0.0050947363
species_Sequoiadendron giganteum,0.0050455243
species_Artemisia douglasiana,0.0049867826
species_Taricha sierrae,0.004954439
species_Calochortus superbus,0.0049109776
species_Arctostaphylos patula,0.0048854537
species_Eschscholzia californica,0.0048094415
species_Omphalotus olivascens,0.004809432
species_Asclepias cordifolia,0.0048085502
species_Hosackia crassifolia,0.004776907
species_Ipomopsis aggregata,0.004691334
species_Pseudotsuga menziesii,0.004591054
species_Silene laciniata,0.004575115
species_Vicia sativa,0.0045240456
species_Sarcodes sanguinea,0.0044764346
species_Purshia tridentata,0.0044609066
species_Prunella vulgaris,0.0044530793
species_Pinus contorta,0.0044352515
species_Chamaebatia foliolosa,0.004427025
species_Limenitis bredowii,0.004263916
species_Buteo lineatus,0.004237808
species_Lilium pardalinum,0.004232935
species_Cryptoporus volvatus,0.004152537
species_Draperia systyla,0.00411683
species_Dodecatheon hendersonii,0.0041025537
species_Hippodamia convergens,0.004058384
species_Monochamus scutellatus,0.0040394543
species_Penstemon speciosus,0.004025353
species_Cornus nuttallii,0.0039995546
species_Maianthemum racemosum,0.0039743013
species_Cercocarpus ledifolius,0.0039730202
species_Sceloporus occidentalis,0.0039244806
species_Junco hyemalis,0.0039145015
species_Sialia mexicana,0.0039133187
species_Pinus ponderosa,0.0038899742
species_Danaus plexippus,0.0038729187
species_Erythranthe cardinalis,0.0038632478
species_Crotalus oreganus,0.0038446113
species_Claytonia perfoliata,0.0038407047
species_Lilium kelleyanum,0.0037989446
species_Hieracium albiflorum,0.00379657
species_Darmera peltata,0.0037893483
species_Streptanthus tortuosus,0.0037738332
species_Bombus vosnesenskii,0.0037699458
species_Dipterostemon capitatus,0.0037602705
species_Triteleia ixioides,0.003722033
species_Dryocopus pileatus,0.0037033467
species_Lithobates catesbeianus,0.0036826273
species_Eriophyllum lanatum,0.0036650263
species_Castilleja applegatei,0.0036474706
species_Goodyera oblongifolia,0.003621418
species_Lilium washingtonianum,0.0035890597
species_Rubus parviflorus,0.0035711285
species_Vanessa cardui,0.0035684013
species_Poecile gambeli,0.0035382807
species_Aquilegia formosa,0.0035218236
species_Acer macrophyllum,0.0034768125
species_Collomia grandiflora,0.0034544892
species_Artemisia tridentata,0.0033753365
species_Epilobium canum,0.0033563557
species_Pipilo maculatus,0.0033521038
species_Viola purpurea,0.0033411337
species_Abies concolor,0.0033398385
species_Lathyrus sulphureus,0.0033252416
species_Penstemon rostriflorus,0.0032994554
species_Erythranthe guttata,0.003284875
species_Sitta canadensis,0.003260212
species_Leuconotopicus villosus,0.0032590833
species_Icaricia acmon,0.0032326833
species_Pinus monophylla,0.0032308765
species_Eriogonum nudum,0.0031629484
species_Dichelostemma volubile,0.0031294972
species_Sayornis nigricans,0.0031271253
species_Collinsia tinctoria,0.0030972275
species_Buteo jamaicensis,0.003097151
species_Woodwardia fimbriata,0.0030628156
species_Pterospora andromedea,0.0029831273
species_Pedicularis groenlandica,0.0029650037
species_Calypte anna,0.0029556542
species_Diplacus grandiflorus,0.002947801
species_Achillea millefolium,0.0029187629
