feature,importance
species_Arbutus menziesii,0.017882682
species_Calochortus leichtlinii,0.015134494
species_Silene laciniata,0.012298885
species_Woodwardia fimbriata,0.011636723
species_Veratrum californicum,0.01068894
species_Lysimachia latifolia,0.010139793
species_Penstemon newberryi,0.009621647
species_Chamaenerion angustifolium,0.009440867
species_Streptanthus tortuosus,0.0094007505
species_Asarum hartwegii,0.008851894
species_Lilium parvum,0.008552293
species_Quercus kelloggii,0.008459246
species_Taricha sierrae,0.00829344
species_Quercus chrysolepis,0.007828705
species_Pinus ponderosa,0.007597378
species_Calandrinia menziesii,0.0069503873
species_Ensatina eschscholtzii,0.006946692
species_Spiraea splendens,0.0068810866
species_Wyethia mollis,0.0068436596
species_Prunella vulgaris,0.006801357
species_Iris macrosiphon,0.006704262
species_Pyrola picta,0.0065846043
species_Pinus sabiniana,0.0065681944
species_Arctostaphylos patula,0.006497922
species_Populus tremuloides,0.0064886375
species_Otospermophilus beecheyi,0.0062132217
species_Erythranthe bicolor,0.0059466204
species_Cirsium andersonii,0.00591713
species_Limenitis bredowii,0.0059035276
species_Ipomopsis aggregata,0.005890266
species_Lathyrus sulphureus,0.0058532273
species_Pinus monophylla,0.0058502466
species_Adelinia grande,0.005832196
species_Chrysolepis sempervirens,0.0058307103
species_Phyllodoce breweri,0.005801073
species_Erythranthe erubescens,0.0057704556
species_Quercus douglasii,0.0056936615
species_Collinsia heterophylla,0.0056499313
species_Meleagris gallopavo,0.0056194514
species_Cryptoporus volvatus,0.005551786
species_Monardella odoratissima,0.0054790652
species_Ceanothus cordulatus,0.00535815
species_Diplacus torreyi,0.005300787
species_Acer macrophyllum,0.005299287
species_Quercus wislizeni,0.0052744355
species_Eriodictyon californicum,0.005263459
species_Dichelostemma volubile,0.0052545015
species_Dudleya cymosa,0.0051683774
species_Abies magnifica,0.005114425
species_Rubus armeniacus,0.0050984183
species_Corallorhiza maculata,0.0050314977
species_Asclepias speciosa,0.0050121485
species_Sarcodes sanguinea,0.0050098677
species_Chamaebatia foliolosa,0.005008107
species_Rhododendron occidentale,0.004962329
species_Nemophila maculata,0.004928042
